日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-03-30,'600456,宝钛股份,20.06,20.35,19.81,19.97,20.16,-0.1,-0.496,1.6855,7251930,145433088.0,8631129942.0,8631129942.0
2018-03-29,'600456,宝钛股份,20.16,20.83,18.81,18.93,18.94,1.22,6.4414,2.9382,12642233,250420885.0,8674156512.0,8674156512.0
2018-03-28,'600456,宝钛股份,18.94,19.4,18.48,18.82,19.11,-0.17,-0.8896,2.9298,12605786,239115551.0,8149232358.0,8149232358.0
2018-03-27,'600456,宝钛股份,19.11,19.11,17.54,17.69,17.37,1.74,10.0173,2.7398,11788603,217920329.0,8222377527.0,8222377527.0
2018-03-26,'600456,宝钛股份,17.37,17.52,16.88,16.98,17.03,0.34,1.9965,1.1858,5102067,88095311.0,7473715209.0,7473715209.0
2018-03-23,'600456,宝钛股份,17.03,17.7,16.85,17.7,18.3,-1.27,-6.9399,1.7484,7522759,129854505.0,7327424871.0,7327424871.0
2018-03-22,'600456,宝钛股份,18.3,18.89,18.25,18.8,18.79,-0.49,-2.6078,0.7195,3095721,57433594.0,7873862310.0,7873862310.0
2018-03-21,'600456,宝钛股份,18.79,18.96,18.35,18.42,18.42,0.37,2.0087,0.9528,4099630,76725249.0,8084692503.0,8084692503.0
2018-03-20,'600456,宝钛股份,18.42,18.5,18.09,18.48,18.74,-0.32,-1.7076,0.748,3218281,58875443.0,7925494194.0,7925494194.0
2018-03-19,'600456,宝钛股份,18.74,19.07,18.61,18.8,18.83,-0.09,-0.478,0.5981,2573625,48553885.0,8063179218.0,8063179218.0
2018-03-16,'600456,宝钛股份,18.83,19.05,18.41,18.49,18.62,0.21,1.1278,0.7335,3156137,59474466.0,8101903131.0,8101903131.0
2018-03-15,'600456,宝钛股份,18.62,18.91,18.45,18.9,18.99,-0.37,-1.9484,0.9372,4032334,75317956.0,8011547334.0,8011547334.0
2018-03-14,'600456,宝钛股份,18.99,19.48,18.93,19.35,19.46,-0.47,-2.4152,0.9881,4251376,81487571.0,8170745643.0,8170745643.0
2018-03-13,'600456,宝钛股份,19.46,19.67,19.26,19.46,19.5,-0.04,-0.2051,0.8055,3465703,67559680.0,8372970522.0,8372970522.0
2018-03-12,'600456,宝钛股份,19.5,19.84,19.4,19.43,19.3,0.2,1.0363,1.2016,5170065,101225306.0,8390181150.0,8390181150.0
2018-03-09,'600456,宝钛股份,19.3,19.39,18.92,18.92,18.89,0.41,2.1705,1.0316,4438460,85444448.0,8304128010.0,8304128010.0
2018-03-08,'600456,宝钛股份,18.89,19.25,18.82,18.82,18.88,0.01,0.053,0.6564,2824180,53690390.0,8127719073.0,8127719073.0
2018-03-07,'600456,宝钛股份,18.88,19.39,18.86,19.26,19.31,-0.43,-2.2268,0.6981,3003489,57385742.0,8123416416.0,8123416416.0
2018-03-06,'600456,宝钛股份,19.31,19.45,19.13,19.3,19.29,0.02,0.1037,0.9333,4015597,77348171.0,8308430667.0,8308430667.0
2018-03-05,'600456,宝钛股份,19.29,19.48,18.86,18.86,18.83,0.46,2.4429,0.9705,4175723,80467290.0,8299825353.0,8299825353.0
2018-03-02,'600456,宝钛股份,18.83,19.21,18.66,18.71,18.95,-0.12,-0.6332,0.9702,4174432,79178911.0,8101903131.0,8101903131.0
2018-03-01,'600456,宝钛股份,18.95,19.08,18.54,18.85,18.98,-0.03,-0.1581,1.0219,4396762,82748697.0,8153535015.0,8153535015.0
2018-02-28,'600456,宝钛股份,18.98,19.38,18.5,18.9,18.9,0.08,0.4233,1.2452,5357546,101304396.0,8166442986.0,8166442986.0
2018-02-27,'600456,宝钛股份,18.9,19.07,18.4,18.74,18.64,0.26,1.3948,1.3409,5769535,108257797.0,8132021730.0,8132021730.0
2018-02-26,'600456,宝钛股份,18.64,18.71,18.2,18.28,18.18,0.46,2.5303,0.9448,4065031,75156901.0,8020152648.0,8020152648.0
2018-02-23,'600456,宝钛股份,18.18,18.19,17.79,18.18,18.12,0.06,0.3311,0.7967,3428076,61799368.0,7822230426.0,7822230426.0
2018-02-22,'600456,宝钛股份,18.12,18.25,17.66,17.68,17.52,0.6,3.4247,1.044,4491927,81122949.0,7796414484.0,7796414484.0
2018-02-14,'600456,宝钛股份,17.52,17.69,17.43,17.48,17.41,0.11,0.6318,0.57,2452718,43023822.0,7538255064.0,7538255064.0
2018-02-13,'600456,宝钛股份,17.41,17.78,17.28,17.42,17.3,0.11,0.6358,1.1273,4850528,85094194.0,7490925837.0,7490925837.0
2018-02-12,'600456,宝钛股份,17.3,17.38,16.9,16.97,17.02,0.28,1.6451,1.4344,6171861,105514373.0,7443596610.0,7443596610.0
2018-02-09,'600456,宝钛股份,17.02,17.99,16.81,17.62,18.62,-1.6,-8.5929,1.5565,6696905,114591395.0,7323122214.0,7323122214.0
2018-02-08,'600456,宝钛股份,18.62,18.85,18.18,18.5,18.55,0.07,0.3774,0.9909,4263297,79375730.0,8011547334.0,8011547334.0
2018-02-07,'600456,宝钛股份,18.55,20.29,18.11,20.0,20.12,-1.57,-7.8032,3.0149,12971965,246579884.0,7981428735.0,7981428735.0
2018-02-06,'600456,宝钛股份,20.12,21.8,20.12,21.8,22.35,-2.23,-9.9776,1.6074,6915912,143817962.0,8656945884.0,8656945884.0
2018-02-05,'600456,宝钛股份,22.35,22.64,22.08,22.31,22.78,-0.43,-1.8876,0.9767,4202338,93864419.0,9616438395.0,9616438395.0
2018-02-02,'600456,宝钛股份,22.78,22.88,21.14,21.92,22.26,0.52,2.336,1.6983,7307264,161040007.0,9801452646.0,9801452646.0
2018-02-01,'600456,宝钛股份,22.26,23.65,21.88,23.1,23.19,-0.93,-4.0103,1.7214,7406548,168231806.0,9577714482.0,9577714482.0
2018-01-31,'600456,宝钛股份,23.19,23.89,23.04,23.04,23.73,-0.54,-2.2756,1.5221,6548875,153302329.0,9977861583.0,9977861583.0
2018-01-30,'600456,宝钛股份,23.73,24.2,23.32,23.38,23.67,0.06,0.2535,2.2641,9741560,231399112.0,10210205061.0,10210205061.0
2018-01-29,'600456,宝钛股份,23.67,23.75,22.03,22.54,22.55,1.12,4.9667,2.8227,12145001,281163030.0,10184389119.0,10184389119.0
2018-01-26,'600456,宝钛股份,22.55,23.2,22.5,22.99,22.77,-0.22,-0.9662,1.3651,5873598,133805743.0,9702491535.0,9702491535.0
2018-01-25,'600456,宝钛股份,22.77,22.91,22.1,22.13,22.0,0.77,3.5,1.7122,7367118,166543141.0,9797149989.0,9797149989.0
2018-01-24,'600456,宝钛股份,22.0,22.18,21.71,22.18,22.22,-0.22,-0.9901,0.9478,4078193,89291483.0,9465845400.0,9465845400.0
2018-01-23,'600456,宝钛股份,22.22,22.35,21.91,22.05,22.12,0.1,0.4521,0.8945,3848518,85183222.0,9560503854.0,9560503854.0
2018-01-22,'600456,宝钛股份,22.12,22.2,21.75,21.79,21.76,0.36,1.6544,1.0081,4337465,95399415.0,9517477284.0,9517477284.0
2018-01-19,'600456,宝钛股份,21.76,21.83,21.1,21.61,21.61,0.15,0.6941,0.947,4074607,87873092.0,9362581632.0,9362581632.0
2018-01-18,'600456,宝钛股份,21.61,22.18,21.38,21.72,21.89,-0.28,-1.2791,1.237,5322332,116257040.0,9298041777.0,9298041777.0
