»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-03-30,'600497,≥€∫Í–ø’‡,6.38,6.41,6.32,6.4,6.4,-0.02,-0.3125,0.7248,31236898,198592951.0,32482440203.8,27497150426.7
2018-03-29,'600497,≥€∫Í–ø’‡,6.4,6.41,6.25,6.27,6.27,0.13,2.0734,0.8665,37343664,236519453.0,32584266035.2,27583348390.4
2018-03-28,'600497,≥€∫Í–ø’‡,6.27,6.36,6.25,6.3,6.41,-0.14,-2.1841,0.7251,31251733,196818652.0,31922398131.4,27023061626.2
2018-03-27,'600497,≥€∫Í–ø’‡,6.41,6.48,6.36,6.45,6.33,0.08,1.2638,0.8964,38633716,247151305.0,32635178950.9,27626447372.3
2018-03-26,'600497,≥€∫Í–ø’‡,6.33,6.33,6.05,6.15,6.28,0.05,0.7962,1.1158,48090073,299321323.0,32227875625.4,27281655517.4
2018-03-23,'600497,≥€∫Í–ø’‡,6.28,6.67,6.13,6.56,6.8,-0.52,-7.6471,2.1252,91595923,583924296.0,31973311047.0,27066160608.1
2018-03-22,'600497,≥€∫Í–ø’‡,6.8,6.94,6.68,6.73,6.65,0.15,2.2556,1.3942,60090471,409717656.0,34620782662.4,29307307664.8
2018-03-21,'600497,≥€∫Í–ø’‡,6.65,6.84,6.62,6.7,6.72,-0.07,-1.0417,0.8189,35295027,237703977.0,33857088927.2,28660822936.9
2018-03-20,'600497,≥€∫Í–ø’‡,6.72,6.73,6.6,6.63,6.71,0.01,0.149,0.5073,21862828,146102023.0,34213479337.0,28962515809.9
2018-03-19,'600497,≥€∫Í–ø’‡,6.71,6.73,6.6,6.69,6.7,0.01,0.1493,0.6432,27723005,184590071.0,34162566421.3,28919416828.1
2018-03-16,'600497,≥€∫Í–ø’‡,6.7,6.82,6.66,6.82,6.81,-0.11,-1.6153,0.7497,32311556,217202997.0,34111653505.6,28876317846.2
2018-03-15,'600497,≥€∫Í–ø’‡,6.81,6.89,6.75,6.83,6.9,-0.09,-1.3043,0.8977,38689760,262963526.0,34671695578.1,29350406646.7
2018-03-14,'600497,≥€∫Í–ø’‡,6.9,7.0,6.81,6.81,6.79,0.11,1.62,1.5815,68160441,472550116.0,35129911819.2,29738297483.4
2018-03-13,'600497,≥€∫Í–ø’‡,6.79,6.84,6.77,6.81,6.85,-0.06,-0.8759,0.7464,32170948,218795462.0,34569869746.7,29264208682.9
2018-03-12,'600497,≥€∫Í–ø’‡,6.85,6.87,6.74,6.78,6.73,0.12,1.7831,1.3047,56232702,383598577.0,34875347240.8,29522802574.1
2018-03-09,'600497,≥€∫Í–ø’‡,6.73,6.75,6.65,6.66,6.74,-0.01,-0.1484,0.8521,36726638,246161577.0,34264392252.6,29005614791.8
2018-03-08,'600497,≥€∫Í–ø’‡,6.74,6.82,6.66,6.66,6.7,0.04,0.597,0.7733,33330151,224246151.0,34315305168.3,29048713773.6
2018-03-07,'600497,≥€∫Í–ø’‡,6.7,6.87,6.66,6.87,6.88,-0.18,-2.6163,1.1451,49351564,333464649.0,34111653505.6,28876317846.2
2018-03-06,'600497,≥€∫Í–ø’‡,6.88,6.91,6.56,6.67,6.67,0.21,3.1484,1.8241,78617706,531342352.0,35028085987.8,29652099519.7
2018-03-05,'600497,≥€∫Í–ø’‡,6.67,6.85,6.59,6.84,6.79,-0.12,-1.7673,1.1816,50925252,341770565.0,33958914758.6,28747020900.6
2018-03-02,'600497,≥€∫Í–ø’‡,6.79,6.94,6.78,6.88,6.97,-0.18,-2.5825,1.1757,50670877,347332908.0,34569869746.7,29264208682.9
