日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-03-30,'600152,维科精华,6.45,6.65,6.44,6.63,6.57,-0.12,-1.8265,1.134,3328208,21777063.0,2842261818.15,1893037590.0
2018-03-29,'600152,维科精华,6.57,6.66,6.47,6.64,6.54,0.03,0.4587,0.6737,1977261,12934883.0,2895141107.79,1928256894.0
2018-03-28,'600152,维科精华,6.54,6.73,6.49,6.61,6.64,-0.1,-1.506,0.7544,2214090,14607445.0,2881921285.38,1919452068.0
2018-03-27,'600152,维科精华,6.64,6.74,6.59,6.59,6.5,0.14,2.1538,0.9627,2825502,18772185.0,2925987360.08,1948801488.0
2018-03-26,'600152,维科精华,6.5,6.51,6.12,6.4,6.51,-0.01,-0.1536,1.3061,3833429,24423644.0,2864294855.5,1907712300.0
2018-03-23,'600152,维科精华,6.51,6.94,6.35,6.85,7.04,-0.53,-7.5284,2.7818,8164532,54400985.0,2868701462.97,1910647242.0
2018-03-22,'600152,维科精华,7.04,7.44,6.83,6.85,6.88,0.16,2.3256,3.4069,9999043,71387223.0,3102251658.88,2066199168.0
2018-03-21,'600152,维科精华,6.88,6.97,6.41,6.71,6.76,0.12,1.7751,1.7216,5052910,34475166.0,3031745939.36,2019240096.0
2018-03-20,'600152,维科精华,6.76,6.84,6.6,6.61,6.84,-0.08,-1.1696,1.1817,3468145,23343280.0,2978866649.72,1984020792.0
2018-03-19,'600152,维科精华,6.84,6.93,6.46,6.46,6.57,0.27,4.1096,1.813,5321140,36083499.0,3014119509.48,2007500328.0
2018-03-16,'600152,维科精华,6.57,6.7,6.45,6.45,6.46,0.11,1.7028,0.836,2453502,16118339.0,2895141107.79,1928256894.0
2018-03-15,'600152,维科精华,6.46,6.69,6.43,6.65,6.65,-0.19,-2.8571,1.0345,3036101,19793434.0,2846668425.62,1895972532.0
2018-03-14,'600152,维科精华,6.65,6.84,6.62,6.84,6.83,-0.18,-2.6354,1.1766,3453391,23187944.0,2930393967.55,1951736430.0
2018-03-13,'600152,维科精华,6.83,7.03,6.55,6.62,6.68,0.15,2.2455,1.9847,5824865,39755513.0,3009712902.01,2004565386.0
2018-03-12,'600152,维科精华,6.68,6.78,6.49,6.54,6.59,0.09,1.3657,1.8712,5491722,36349869.0,2943613789.96,1960541256.0
2018-03-09,'600152,维科精华,6.59,6.93,6.29,6.34,6.31,0.28,4.4374,2.1376,6273681,41157387.0,2903954322.73,1934126778.0
2018-03-08,'600152,维科精华,6.31,6.41,6.28,6.34,6.37,-0.06,-0.9419,0.8601,2524418,16007426.0,2780569313.57,1851948402.0
2018-03-07,'600152,维科精华,6.37,6.38,6.2,6.26,6.28,0.09,1.4331,1.3525,3969476,25053722.0,2807008958.39,1869558054.0
2018-03-06,'600152,维科精华,6.28,6.3,6.06,6.09,6.07,0.21,3.4596,1.0966,3218361,19878039.0,2767349491.16,1843143576.0
2018-03-05,'600152,维科精华,6.07,6.16,6.02,6.11,6.19,-0.12,-1.9386,0.9901,2905917,17632283.0,2674810734.29,1781509794.0
2018-03-02,'600152,维科精华,6.19,6.31,6.12,6.17,6.24,-0.05,-0.8013,1.0307,3024900,18841240.0,2727690023.93,1816729098.0
2018-03-01,'600152,维科精华,6.24,6.25,6.07,6.1,6.14,0.1,1.6287,1.288,3780210,23299158.0,2749723061.28,1831403808.0
2018-02-28,'600152,维科精华,6.14,6.17,6.05,6.17,6.1,0.04,0.6557,0.8304,2437201,14934880.0,2705656986.58,1802054388.0
2018-02-27,'600152,维科精华,6.1,6.15,6.04,6.12,6.11,-0.01,-0.1637,0.8832,2592110,15787464.0,2688030556.7,1790314620.0
2018-02-26,'600152,维科精华,6.11,6.12,5.94,5.96,5.97,0.14,2.3451,0.9958,2922567,17623148.0,2692437164.17,1793249562.0
2018-02-23,'600152,维科精华,5.97,6.02,5.89,6.02,6.0,-0.03,-0.5,1.0075,2957018,17611176.0,2630744659.59,1752160374.0
2018-02-22,'600152,维科精华,6.0,6.06,5.91,5.91,5.97,0.03,0.5025,1.2916,3790900,22661505.0,2643964482.0,1760965200.0
2018-02-14,'600152,维科精华,5.97,6.15,5.52,5.61,5.6,0.37,6.6071,2.5707,7544798,44346489.0,2630744659.59,1752160374.0
2018-02-13,'600152,维科精华,5.6,5.7,5.58,5.6,5.56,0.04,0.7194,0.8756,2569730,14484897.0,2467700183.2,1643567520.0
2018-02-12,'600152,维科精华,5.56,5.63,5.3,5.3,5.34,0.22,4.1199,1.4677,4307721,23673180.0,2450073753.32,1631827752.0
2018-02-09,'600152,维科精华,5.34,5.57,5.3,5.5,5.64,-0.3,-5.3191,1.1217,3292152,17865457.0,2353128388.98,1567259028.0
2018-02-08,'600152,维科精华,5.64,5.69,5.55,5.57,5.57,0.07,1.2567,0.9893,2903541,16334533.0,2485326613.08,1655307288.0
2018-02-07,'600152,维科精华,5.57,5.91,5.15,5.81,5.7,-0.13,-2.2807,1.6495,4841176,27134606.0,2454480360.79,1634762694.0
