日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-03-30,'600277,亿利洁能,5.53,5.56,5.43,5.43,5.43,0.1,1.8416,0.3164,8460551,46561071.0,15146339024.0,14787248120.0
2018-03-29,'600277,亿利洁能,5.43,5.48,5.35,5.38,5.35,0.08,1.4953,0.3025,8089244,43902553.0,14872445009.1,14519847611.5
2018-03-28,'600277,亿利洁能,5.35,5.44,5.33,5.38,5.48,-0.13,-2.3723,0.338,9037590,48706059.0,14653329797.1,14305927204.8
2018-03-27,'600277,亿利洁能,5.48,5.53,5.44,5.53,5.45,0.03,0.5505,0.3609,9650402,52822696.0,15009392016.5,14653547865.8
2018-03-26,'600277,亿利洁能,5.45,5.5,5.2,5.36,5.37,0.08,1.4898,0.2739,7323790,39227195.0,14927223812.0,14573327713.2
2018-03-23,'600277,亿利洁能,5.37,5.65,5.25,5.63,5.73,-0.36,-6.2827,0.4275,11430284,62413510.0,14708108600.1,14359407306.5
2018-03-22,'600277,亿利洁能,5.73,5.87,5.69,5.82,5.79,-0.06,-1.0363,0.2195,5870400,33787474.0,15694127053.8,15322049137.0
2018-03-21,'600277,亿利洁能,5.79,5.89,5.77,5.86,5.81,-0.02,-0.3442,0.1975,5280552,30823599.0,15858463462.7,15482489442.1
2018-03-20,'600277,亿利洁能,5.81,5.86,5.74,5.86,5.84,-0.03,-0.5137,0.1727,4618730,26793611.0,15913242265.7,15535969543.9
2018-03-19,'600277,亿利洁能,5.84,5.93,5.83,5.93,5.88,-0.04,-0.6803,0.1602,4282830,25113079.0,15995410470.2,15616189696.4
2018-03-16,'600277,亿利洁能,5.88,5.92,5.86,5.9,5.86,0.02,0.3413,0.1969,5264673,31037069.0,16104968076.1,15723149899.8
2018-03-15,'600277,亿利洁能,5.86,5.92,5.82,5.89,5.85,0.01,0.1709,0.2589,6922518,40620461.0,16050189273.1,15669669798.1
2018-03-14,'600277,亿利洁能,5.85,5.89,5.83,5.89,5.86,-0.01,-0.1706,0.1958,5235343,30695846.0,16022799871.6,15642929747.2
2018-03-13,'600277,亿利洁能,5.86,5.92,5.82,5.87,5.89,-0.03,-0.5093,0.2662,7118322,41818515.0,16050189273.1,15669669798.1
2018-03-12,'600277,亿利洁能,5.89,5.91,5.81,5.81,5.81,0.08,1.3769,0.3188,8524866,50064537.0,16132357477.6,15749889950.6
2018-03-09,'600277,亿利洁能,5.81,5.83,5.73,5.8,5.76,0.05,0.8681,0.2228,5957788,34512938.0,15913242265.7,15535969543.9
2018-03-08,'600277,亿利洁能,5.76,5.8,5.7,5.73,5.74,0.02,0.3484,0.1868,4994828,28731156.0,15776295258.2,15402269289.6
2018-03-07,'600277,亿利洁能,5.74,5.93,5.7,5.9,5.85,-0.11,-1.8803,0.383,10240882,59408339.0,15721516455.3,15348789187.9
