ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2018-03-30,'600196,¸´ÐÇÒ½Ò©,44.49,44.64,42.25,42.25,42.04,2.45,5.8278,1.6095,30738162,1344140811.0,1.11008380192e+11,84967405257.4
2018-03-29,'600196,¸´ÐÇÒ½Ò©,42.04,43.54,40.73,43.1,43.04,-1.0,-2.3234,1.7849,34087446,1429226922.0,1.04895309132e+11,80288373050.6
2018-03-28,'600196,¸´ÐÇÒ½Ò©,43.04,45.96,42.8,45.35,45.68,-2.64,-5.7793,1.569,29965184,1324611317.0,1.07390440177e+11,82198182114.6
2018-03-27,'600196,¸´ÐÇÒ½Ò©,45.68,47.58,44.42,46.0,46.46,-0.78,-1.6789,2.6243,50119711,2305242863.0,1.13977586136e+11,87240078043.5
2018-03-26,'600196,¸´ÐÇÒ½Ò©,46.46,47.05,43.5,44.18,44.59,1.87,4.1938,2.0865,39848554,1824637390.0,1.15923788351e+11,88729729113.4
2018-03-23,'600196,¸´ÐÇÒ½Ò©,44.59,44.65,42.19,42.2,44.79,-0.2,-0.4465,1.9021,36326042,1584098745.0,1.11257893297e+11,85158386163.8
2018-03-22,'600196,¸´ÐÇÒ½Ò©,44.79,46.35,44.44,46.1,46.05,-1.26,-2.7362,1.3225,25257509,1138462175.0,1.11756919506e+11,85540347976.6
2018-03-21,'600196,¸´ÐÇÒ½Ò©,46.05,47.38,45.68,47.19,46.99,-0.94,-2.0004,1.4842,28346210,1317502675.0,1.14900784622e+11,87946707397.2
2018-03-20,'600196,¸´ÐÇÒ½Ò©,46.99,47.01,44.04,44.28,44.56,2.43,5.4533,2.2396,42772815,1954915414.0,1.17246207805e+11,89741927917.4
2018-03-19,'600196,¸´ÐÇÒ½Ò©,44.56,44.64,42.3,42.55,42.61,1.95,4.5764,1.8448,35231941,1547781566.0,1.11183039365e+11,85101091891.8
2018-03-16,'600196,¸´ÐÇÒ½Ò©,42.61,43.85,42.58,43.39,43.47,-0.86,-1.9784,0.7527,14375908,620902856.0,1.06317533827e+11,81376964217.0
2018-03-15,'600196,¸´ÐÇÒ½Ò©,43.47,44.02,42.53,42.67,42.99,0.48,1.1165,1.0448,19954000,866687193.0,1.08463346526e+11,83019400012.1
2018-03-14,'600196,¸´ÐÇÒ½Ò©,42.99,43.56,42.42,42.88,42.91,0.08,0.1864,0.736,14055292,604206889.0,1.07265683625e+11,82102691661.4
2018-03-13,'600196,¸´ÐÇÒ½Ò©,42.91,43.77,42.5,43.63,43.85,-0.94,-2.1437,0.9449,18045396,775442016.0,1.07066073141e+11,81949906936.2
2018-03-12,'600196,¸´ÐÇÒ½Ò©,43.85,44.74,43.2,44.0,43.43,0.42,0.9671,1.3575,25925656,1139587591.0,1.09411496323e+11,83745127456.4
2018-03-09,'600196,¸´ÐÇÒ½Ò©,43.43,43.47,42.55,43.13,43.06,0.37,0.8593,1.0943,20898906,902514792.0,1.08363541284e+11,82943007649.5
2018-03-08,'600196,¸´ÐÇÒ½Ò©,43.06,43.29,41.02,41.05,41.11,1.95,4.7434,1.4276,27264133,1164810333.0,1.07440342798e+11,82236378295.8
2018-03-07,'600196,¸´ÐÇÒ½Ò©,41.11,42.06,40.93,41.99,42.02,-0.91,-2.1656,0.8145,15555943,644812714.0,1.0257483726e+11,78512250621.0
2018-03-06,'600196,¸´ÐÇÒ½Ò©,42.02,42.1,39.91,39.91,39.94,2.08,5.2078,1.3576,25927804,1067279301.0,1.04845406511e+11,80250176869.3
2018-03-05,'600196,¸´ÐÇÒ½Ò©,39.94,40.66,39.11,40.54,40.21,-0.27,-0.6715,0.6336,12101117,480223782.0,99655533937.3,76277774016.2
2018-03-02,'600196,¸´ÐÇÒ½Ò©,40.21,41.37,39.86,40.9,41.44,-1.23,-2.9681,0.8992,17173532,696091226.0,1.00329219319e+11,76793422463.4
