ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2018-03-30,'600426,»ªÂ³ºãÉý,15.92,16.25,15.72,15.94,16.31,-0.39,-2.3912,1.8058,29155167,463989465.0,25796187716.0,25703317727.4
2018-03-29,'600426,»ªÂ³ºãÉý,16.31,16.31,14.83,14.97,14.83,1.48,9.9798,2.5566,41277254,645140393.0,26428129500.5,26332984430.5
2018-03-28,'600426,»ªÂ³ºãÉý,14.83,15.85,14.68,15.6,15.82,-0.99,-6.2579,1.7227,27812842,421865766.0,24029991446.5,23943480018.6
2018-03-27,'600426,»ªÂ³ºãÉý,15.82,16.29,15.63,16.03,15.7,0.12,0.7643,1.0182,16439637,263058663.0,25634151361.0,25541864726.6
2018-03-26,'600426,»ªÂ³ºãÉý,15.7,16.04,15.12,15.12,15.52,0.18,1.1598,1.0215,16492845,257475549.0,25439707735.0,25348121125.6
2018-03-23,'600426,»ªÂ³ºãÉý,15.52,16.35,15.14,15.8,16.49,-0.97,-5.8824,1.3864,22384377,349920990.0,25148042296.0,25057505724.2
2018-03-22,'600426,»ªÂ³ºãÉý,16.49,17.2,16.43,16.8,16.9,-0.41,-2.426,0.891,14385292,240082155.0,26719794939.5,26623599831.9
2018-03-21,'600426,»ªÂ³ºãÉý,16.9,17.4,16.81,17.23,17.25,-0.35,-2.029,0.8076,13039235,223444280.0,27384143995.0,27285557135.2
2018-03-20,'600426,»ªÂ³ºãÉý,17.25,17.4,16.9,17.0,17.34,-0.09,-0.519,0.6172,9964551,171277144.0,27951271237.5,27850642638.0
2018-03-19,'600426,»ªÂ³ºãÉý,17.34,17.88,16.96,17.69,17.97,-0.63,-3.5058,0.9669,15610528,270287945.0,28097103957.0,27995950338.7
2018-03-16,'600426,»ªÂ³ºãÉý,17.97,18.33,17.84,17.98,17.96,0.01,0.0557,0.5093,8222832,148615622.0,29117932993.5,29013104243.8
2018-03-15,'600426,»ªÂ³ºãÉý,17.96,18.48,17.68,18.34,18.34,-0.38,-2.072,0.7696,12425701,223127004.0,29101729358.0,28996958943.7
2018-03-14,'600426,»ªÂ³ºãÉý,18.34,18.7,18.28,18.5,18.55,-0.21,-1.1321,0.7403,11952471,221101072.0,29717467507.0,29610480346.7
2018-03-13,'600426,»ªÂ³ºãÉý,18.55,18.77,18.02,18.29,18.31,0.24,1.3108,1.3519,21826875,403984310.0,30057743852.5,29949531648.4
2018-03-12,'600426,»ªÂ³ºãÉý,18.31,18.5,17.4,17.5,17.5,0.81,4.6286,1.5079,24344722,438401459.0,29668856600.5,29562044446.5
2018-03-09,'600426,»ªÂ³ºãÉý,17.5,17.69,17.22,17.56,17.58,-0.08,-0.4551,0.8787,14186070,246734840.0,28356362125.0,28254275140.0
2018-03-08,'600426,»ªÂ³ºãÉý,17.58,17.6,16.68,16.9,16.87,0.71,4.2087,1.0834,17491490,300771380.0,28485991209.0,28383437540.6
2018-03-07,'600426,»ªÂ³ºãÉý,16.87,17.86,16.78,17.45,17.33,-0.46,-2.6544,1.6005,25840684,449894668.0,27335533088.5,27237121235.0
2018-03-06,'600426,»ªÂ³ºãÉý,17.33,17.4,16.5,17.04,16.81,0.52,3.0934,1.2472,20136599,341744043.0,28080900321.5,27979805038.6
2018-03-05,'600426,»ªÂ³ºãÉý,16.81,17.87,16.51,17.67,17.43,-0.62,-3.5571,1.6083,25965945,444043834.0,27238311275.5,27140249434.5
2018-03-02,'600426,»ªÂ³ºãÉý,17.43,17.8,17.05,17.56,17.84,-0.41,-2.2982,1.1977,19337243,337942384.0,28242936676.5,28141258039.4
2018-03-01,'600426,»ªÂ³ºãÉý,17.84,18.24,17.65,17.95,18.12,-0.28,-1.5453,0.9595,15491293,278329134.0,28907285732.0,28803215342.7
2018-02-28,'600426,»ªÂ³ºãÉý,18.12,18.39,17.72,17.99,18.26,-0.14,-0.7667,0.8785,14182901,256525859.0,29360987526.0,29255283745.0
2018-02-27,'600426,»ªÂ³ºãÉý,18.26,18.87,17.86,18.85,18.84,-0.58,-3.0786,1.2946,20900996,382969397.0,29587838423.0,29481317946.1
2018-02-26,'600426,»ªÂ³ºãÉý,18.84,18.96,18.51,18.51,18.38,0.46,2.5027,1.2496,20175874,377964644.0,30527649282.0,30417745350.7
