日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-03-30,'600397,安源煤业,2.73,2.75,2.72,2.74,2.74,-0.01,-0.365,0.3279,3246277,8878849.0,2702590477.86,2702590477.86
2018-03-29,'600397,安源煤业,2.74,2.75,2.69,2.71,2.72,0.02,0.7353,0.4253,4210613,11463815.0,2712490076.68,2712490076.68
2018-03-28,'600397,安源煤业,2.72,2.74,2.7,2.73,2.76,-0.04,-1.4493,0.5241,5188300,14115726.0,2692690879.04,2692690879.04
2018-03-27,'600397,安源煤业,2.76,2.77,2.68,2.68,2.66,0.1,3.7594,0.5904,5844802,15916472.0,2732289274.32,2732289274.32
2018-03-26,'600397,安源煤业,2.66,2.69,2.57,2.64,2.66,0.0,0.0,0.7121,7049087,18593924.0,2633293286.12,2633293286.12
2018-03-23,'600397,安源煤业,2.66,2.86,2.65,2.86,2.89,-0.23,-7.9585,0.8944,8853900,24301948.0,2633293286.12,2633293286.12
2018-03-22,'600397,安源煤业,2.89,2.91,2.88,2.88,2.88,0.01,0.3472,0.403,3989800,11546034.0,2860984058.98,2860984058.98
2018-03-21,'600397,安源煤业,2.88,2.93,2.88,2.89,2.9,-0.02,-0.6897,0.5074,5022700,14583127.0,2851084460.16,2851084460.16
2018-03-20,'600397,安源煤业,2.9,2.92,2.86,2.9,2.92,-0.02,-0.6849,0.6386,6321400,18233069.0,2870883657.8,2870883657.8
2018-03-19,'600397,安源煤业,2.92,2.96,2.92,2.96,2.96,-0.04,-1.3514,0.4053,4011885,11757807.0,2890682855.44,2890682855.44
2018-03-16,'600397,安源煤业,2.96,3.01,2.96,3.0,3.02,-0.06,-1.9868,0.6803,6734500,20101496.0,2930281250.72,2930281250.72
2018-03-15,'600397,安源煤业,3.02,3.03,2.92,2.97,2.97,0.05,1.6835,1.0763,10654682,31660589.0,2989678843.64,2989678843.64
2018-03-14,'600397,安源煤业,2.97,3.01,2.95,3.01,3.01,-0.04,-1.3289,0.6857,6788270,20206319.0,2940180849.54,2940180849.54
