日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-03-30,'600429,三元股份,5.96,5.97,5.91,5.94,5.94,0.02,0.3367,0.1696,1500894,8931846.0,8925442258.96,5274600000.0
2018-03-29,'600429,三元股份,5.94,5.95,5.88,5.92,5.91,0.03,0.5076,0.1542,1365040,8070170.0,8895491110.44,5256900000.0
2018-03-28,'600429,三元股份,5.91,5.99,5.89,5.97,6.03,-0.12,-1.99,0.1784,1578906,9355724.0,8850564387.66,5230350000.0
2018-03-27,'600429,三元股份,6.03,6.04,5.9,5.94,5.94,0.09,1.5152,0.1667,1475269,8850794.0,9030271278.78,5336550000.0
2018-03-26,'600429,三元股份,5.94,5.98,5.8,5.86,5.91,0.03,0.5076,0.2203,1949714,11477053.0,8895491110.44,5256900000.0
2018-03-23,'600429,三元股份,5.91,6.12,5.86,6.08,6.18,-0.27,-4.3689,0.4006,3545590,21303538.0,8850564387.66,5230350000.0
2018-03-22,'600429,三元股份,6.18,6.19,6.08,6.09,6.11,0.07,1.1457,0.4276,3784283,23293085.0,9254904892.68,5469300000.0
2018-03-21,'600429,三元股份,6.11,6.14,5.91,5.95,5.93,0.18,3.0354,0.468,4141526,25119416.0,9150075872.86,5407350000.0
2018-03-20,'600429,三元股份,5.93,5.95,5.83,5.9,5.92,0.01,0.1689,0.1524,1349090,7944715.0,8880515536.18,5248050000.0
2018-03-19,'600429,三元股份,5.92,5.96,5.9,5.9,5.94,-0.02,-0.3367,0.1251,1106705,6573484.0,8865539961.92,5239200000.0
2018-03-16,'600429,三元股份,5.94,6.01,5.93,5.94,5.94,0.0,0.0,0.1573,1391775,8301110.0,8895491110.44,5256900000.0
2018-03-15,'600429,三元股份,5.94,6.06,5.92,6.04,6.04,-0.1,-1.6556,0.2234,1977164,11830906.0,8895491110.44,5256900000.0
2018-03-14,'600429,三元股份,6.04,6.14,6.03,6.12,6.1,-0.06,-0.9836,0.2341,2071550,12613988.0,9045246853.04,5345400000.0
2018-03-13,'600429,三元股份,6.1,6.17,6.09,6.15,6.15,-0.05,-0.813,0.1971,1744000,10671705.0,9135100298.6,5398500000.0
2018-03-12,'600429,三元股份,6.15,6.18,6.11,6.13,6.13,0.02,0.3263,0.2529,2238220,13743097.0,9209978169.9,5442750000.0
2018-03-09,'600429,三元股份,6.13,6.15,6.08,6.08,6.1,0.03,0.4918,0.2572,2275904,13931310.0,9180027021.38,5425050000.0
2018-03-08,'600429,三元股份,6.1,6.14,6.06,6.13,6.08,0.02,0.3289,0.1263,1117899,6823423.0,9135100298.6,5398500000.0
2018-03-07,'600429,三元股份,6.08,6.15,6.05,6.09,6.1,-0.02,-0.3279,0.1455,1288102,7849830.0,9105149150.08,5380800000.0
2018-03-06,'600429,三元股份,6.1,6.1,6.0,6.06,6.04,0.06,0.9934,0.2174,1923959,11666235.0,9135100298.6,5398500000.0
2018-03-05,'600429,三元股份,6.04,6.08,5.98,6.04,6.04,0.0,0.0,0.1149,1016715,6126988.0,9045246853.04,5345400000.0
2018-03-02,'600429,三元股份,6.04,6.1,6.01,6.03,6.07,-0.03,-0.4942,0.0988,874552,5290038.0,9045246853.04,5345400000.0
2018-03-01,'600429,三元股份,6.07,6.18,5.99,6.04,6.05,0.02,0.3306,0.1962,1736004,10547818.0,9090173575.82,5371950000.0
2018-02-28,'600429,三元股份,6.05,6.08,5.97,6.01,6.0,0.05,0.8333,0.1489,1317904,7935100.0,9060222427.3,5354250000.0
2018-02-27,'600429,三元股份,6.0,6.06,5.98,6.05,6.07,-0.07,-1.1532,0.1597,1413298,8499196.0,8985344556.0,5310000000.0
2018-02-26,'600429,三元股份,6.07,6.08,5.95,5.99,5.96,0.11,1.8456,0.195,1725689,10412264.0,9090173575.82,5371950000.0
2018-02-23,'600429,三元股份,5.96,6.0,5.91,5.97,5.97,-0.01,-0.1675,0.1062,939700,5604078.0,8925442258.96,5274600000.0
2018-02-22,'600429,三元股份,5.97,5.98,5.86,5.92,5.91,0.06,1.0152,0.1282,1134300,6738974.0,8940417833.22,5283450000.0
2018-02-14,'600429,三元股份,5.91,5.92,5.79,5.84,5.85,0.06,1.0256,0.1248,1104238,6460435.0,8850564387.66,5230350000.0
2018-02-13,'600429,三元股份,5.85,5.91,5.84,5.87,5.85,0.0,0.0,0.1544,1366800,8017224.0,8760710942.1,5177250000.0
2018-02-12,'600429,三元股份,5.85,5.87,5.78,5.8,5.8,0.05,0.8621,0.1638,1449601,8434427.0,8760710942.1,5177250000.0
2018-02-09,'600429,三元股份,5.8,5.89,5.67,5.86,5.97,-0.17,-2.8476,0.3601,3187200,18446511.0,8685833070.8,5133000000.0
2018-02-08,'600429,三元股份,5.97,6.02,5.8,5.85,5.83,0.14,2.4014,0.1648,1458102,8587521.0,8940417833.22,5283450000.0
2018-02-07,'600429,三元股份,5.83,5.92,5.76,5.77,5.78,0.05,0.8651,0.1887,1670101,9755508.0,8730759793.58,5159550000.0
2018-02-06,'600429,三元股份,5.78,5.94,5.76,5.93,5.98,-0.2,-3.3445,0.3964,3507800,20526800.0,8655881922.28,5115300000.0
2018-02-05,'600429,三元股份,5.98,6.04,5.9,6.0,6.04,-0.06,-0.9934,0.1923,1702110,10183552.0,8955393407.48,5292300000.0
2018-02-02,'600429,三元股份,6.04,6.07,5.91,6.01,6.01,0.03,0.4992,0.1929,1706802,10256124.0,9045246853.04,5345400000.0
2018-02-01,'600429,三元股份,6.01,6.24,5.95,6.14,6.23,-0.22,-3.5313,0.4833,4276778,25779419.0,9000320130.26,5318850000.0
2018-01-31,'600429,三元股份,6.23,6.35,6.21,6.34,6.35,-0.12,-1.8898,0.2145,1898506,11908324.0,9329782763.98,5513550000.0
2018-01-30,'600429,三元股份,6.35,6.43,6.31,6.35,6.4,-0.05,-0.7813,0.1445,1278764,8121466.0,9509489655.1,5619750000.0
2018-01-29,'600429,三元股份,6.4,6.53,6.34,6.53,6.5,-0.1,-1.5385,0.2622,2320285,14927660.0,9584367526.4,5664000000.0
2018-01-26,'600429,三元股份,6.5,6.58,6.47,6.51,6.51,-0.01,-0.1536,0.2362,2090669,13628498.0,9734123269.0,5752500000.0
2018-01-25,'600429,三元股份,6.51,6.61,6.48,6.54,6.55,-0.04,-0.6107,0.2033,1798851,11794847.0,9749098843.26,5761350000.0
2018-01-24,'600429,三元股份,6.55,6.63,6.51,6.55,6.62,-0.07,-1.0574,0.2892,2559321,16746038.0,9809001140.3,5796750000.0
2018-01-23,'600429,三元股份,6.62,6.63,6.56,6.61,6.63,-0.01,-0.1508,0.2228,1971621,13020893.0,9913830160.12,5858700000.0
2018-01-22,'600429,三元股份,6.63,6.72,6.6,6.61,6.67,-0.04,-0.5997,0.3364,2977520,19866079.0,9928805734.38,5867550000.0
2018-01-19,'600429,三元股份,6.67,6.79,6.54,6.61,6.67,0.0,0.0,0.5112,4524114,30122867.0,9988708031.42,5902950000.0
2018-01-18,'600429,三元股份,6.67,6.8,6.42,6.45,6.42,0.25,3.8941,0.745,6593014,43841826.0,9988708031.42,5902950000.0
2018-01-17,'600429,三元股份,6.42,6.52,6.39,6.5,6.48,-0.06,-0.9259,0.5044,4463854,28755547.0,9614318674.92,5681700000.0
2018-01-16,'600429,三元股份,6.48,6.51,6.23,6.29,6.28,0.2,3.1847,0.6706,5935162,38132230.0,9704172120.48,5734800000.0
2018-01-15,'600429,三元股份,6.28,6.35,6.25,6.35,6.37,-0.09,-1.4129,0.3431,3036122,19119299.0,9404660635.28,5557800000.0
2018-01-12,'600429,三元股份,6.37,6.38,6.25,6.34,6.33,0.04,0.6319,0.2751,2434201,15412135.0,9539440803.62,5637450000.0
2018-01-11,'600429,三元股份,6.33,6.35,6.19,6.27,6.21,0.12,1.9324,0.3615,3199499,20083786.0,9479538506.58,5602050000.0
