日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-03-30,'600396,金山股份,2.71,2.72,2.69,2.7,2.7,0.01,0.3704,0.2121,2470465,6683220.0,3991035474.07,3156188405.28
2018-03-29,'600396,金山股份,2.7,2.71,2.67,2.68,2.67,0.03,1.1236,0.2179,2537501,6821421.0,3976308405.9,3144541953.6
2018-03-28,'600396,金山股份,2.67,2.71,2.67,2.7,2.72,-0.05,-1.8382,0.2242,2611286,7010535.0,3932127201.39,3109602598.56
2018-03-27,'600396,金山股份,2.72,2.74,2.67,2.68,2.66,0.06,2.2556,0.3948,4598222,12479282.0,4005762542.24,3167834856.96
2018-03-26,'600396,金山股份,2.66,2.67,2.54,2.66,2.68,-0.02,-0.7463,0.4036,4699952,12263185.0,3917400133.22,3097956146.88
2018-03-23,'600396,金山股份,2.68,2.83,2.66,2.83,2.87,-0.19,-6.6202,0.6831,7955852,21963571.0,3946854269.56,3121249050.24
2018-03-22,'600396,金山股份,2.87,2.9,2.77,2.82,2.82,0.05,1.773,0.6912,8049691,22844094.0,4226668564.79,3342531632.16
2018-03-21,'600396,金山股份,2.82,2.87,2.82,2.85,2.85,-0.03,-1.0526,0.3362,3915504,11127929.0,4153033223.94,3284299373.76
2018-03-20,'600396,金山股份,2.85,2.91,2.8,2.82,2.82,0.03,1.0638,0.4096,4770636,13608599.0,4197214428.45,3319238728.8
2018-03-19,'600396,金山股份,2.82,2.85,2.81,2.85,2.85,-0.03,-1.0526,0.2685,3126700,8846098.0,4153033223.94,3284299373.76
2018-03-16,'600396,金山股份,2.85,2.91,2.84,2.85,2.88,-0.03,-1.0417,0.4637,5401000,15497634.0,4197214428.45,3319238728.8
2018-03-15,'600396,金山股份,2.88,2.93,2.78,2.8,2.79,0.09,3.2258,0.8559,9968259,28573878.0,4241395632.96,3354178083.84
2018-03-14,'600396,金山股份,2.79,2.83,2.79,2.83,2.83,-0.04,-1.4134,0.1811,2109000,5923809.0,4108852019.43,3249360018.72
2018-03-13,'600396,金山股份,2.83,2.87,2.82,2.86,2.87,-0.04,-1.3937,0.3091,3599922,10208385.0,4167760292.11,3295945825.44
2018-03-12,'600396,金山股份,2.87,2.89,2.85,2.87,2.85,0.02,0.7018,0.301,3505769,10055085.0,4226668564.79,3342531632.16
2018-03-09,'600396,金山股份,2.85,2.88,2.82,2.88,2.88,-0.03,-1.0417,0.3563,4149311,11787388.0,4197214428.45,3319238728.8
2018-03-08,'600396,金山股份,2.88,2.88,2.76,2.78,2.79,0.09,3.2258,0.7325,8530912,24176975.0,4241395632.96,3354178083.84
2018-03-07,'600396,金山股份,2.79,2.82,2.73,2.75,2.75,0.04,1.4545,0.6755,7867695,21936562.0,4108852019.43,3249360018.72
2018-03-06,'600396,金山股份,2.75,2.75,2.71,2.73,2.73,0.02,0.7326,0.1789,2083964,5681551.0,4049943746.75,3202774212.0
2018-03-05,'600396,金山股份,2.73,2.74,2.7,2.74,2.75,-0.02,-0.7273,0.2083,2425502,6592812.0,4020489610.41,3179481308.64
2018-03-02,'600396,金山股份,2.75,2.78,2.73,2.76,2.76,-0.01,-0.3623,0.2262,2633902,7256752.0,4049943746.75,3202774212.0
2018-03-01,'600396,金山股份,2.76,2.76,2.7,2.72,2.73,0.03,1.0989,0.2368,2758400,7558274.0,4064670814.92,3214420663.68
2018-02-28,'600396,金山股份,2.73,2.73,2.7,2.72,2.73,0.0,0.0,0.167,1945400,5280497.0,4020489610.41,3179481308.64
2018-02-27,'600396,金山股份,2.73,2.78,2.71,2.72,2.72,0.01,0.3676,0.3291,3832410,10510385.0,4020489610.41,3179481308.64
2018-02-26,'600396,金山股份,2.72,2.72,2.69,2.69,2.69,0.03,1.1152,0.213,2480800,6715689.0,4005762542.24,3167834856.96
2018-02-23,'600396,金山股份,2.69,2.7,2.67,2.7,2.69,0.0,0.0,0.127,1478913,3961602.0,3961581337.73,3132895501.92
2018-02-22,'600396,金山股份,2.69,2.7,2.66,2.68,2.67,0.02,0.7491,0.1811,2109600,5653568.0,3961581337.73,3132895501.92
2018-02-14,'600396,金山股份,2.67,2.69,2.64,2.69,2.68,-0.01,-0.3731,0.1798,2094400,5570774.0,3932127201.39,3109602598.56
2018-02-13,'600396,金山股份,2.68,2.72,2.67,2.71,2.72,-0.04,-1.4706,0.356,4146700,11175901.0,3946854269.56,3121249050.24
2018-02-12,'600396,金山股份,2.72,2.73,2.6,2.6,2.6,0.12,4.6154,0.6026,7018634,18908169.0,4005762542.24,3167834856.96
2018-02-09,'600396,金山股份,2.6,2.67,2.53,2.66,2.68,-0.08,-2.9851,0.4642,5406300,14030154.0,3829037724.2,3028077436.8
2018-02-08,'600396,金山股份,2.68,2.72,2.62,2.66,2.67,0.01,0.3745,0.5075,5910600,15813198.0,3946854269.56,3121249050.24
2018-02-07,'600396,金山股份,2.67,2.75,2.61,2.62,2.65,0.02,0.7547,0.7467,8696320,23173961.0,3932127201.39,3109602598.56
2018-02-06,'600396,金山股份,2.65,2.84,2.52,2.55,2.58,0.07,2.7132,1.1548,13449202,36269965.0,3902673065.05,3086309695.2
2018-02-05,'600396,金山股份,2.58,2.6,2.54,2.57,2.61,-0.03,-1.1494,0.3022,3519865,9026841.0,3799583587.86,3004784533.44
2018-02-02,'600396,金山股份,2.61,2.62,2.47,2.62,2.65,-0.04,-1.5094,0.5035,5864344,15092848.0,3843764792.37,3039723888.48
2018-02-01,'600396,金山股份,2.65,2.91,2.6,2.9,2.89,-0.24,-8.3045,1.0205,11885750,31978837.0,3902673065.05,3086309695.2
2018-01-31,'600396,金山股份,2.89,3.04,2.88,3.03,3.03,-0.14,-4.6205,0.6385,7436795,21843421.0,4256122701.13,3365824535.52
2018-01-30,'600396,金山股份,3.03,3.07,3.02,3.07,3.1,-0.07,-2.2581,0.4655,5421396,16479123.0,4462301655.51,3528874859.04
2018-01-29,'600396,金山股份,3.1,3.15,3.09,3.13,3.13,-0.03,-0.9585,0.2857,3327000,10377501.0,4565391132.7,3610400020.8
2018-01-26,'600396,金山股份,3.13,3.16,3.13,3.14,3.15,-0.02,-0.6349,0.2776,3232700,10177952.0,4609572337.21,3645339375.84
2018-01-25,'600396,金山股份,3.15,3.16,3.1,3.12,3.12,0.03,0.9615,0.3528,4108594,12886528.0,4639026473.55,3668632279.2
2018-01-24,'600396,金山股份,3.12,3.12,3.09,3.11,3.12,0.0,0.0,0.1484,1728700,5367888.0,4594845269.04,3633692924.16
2018-01-23,'600396,金山股份,3.12,3.14,3.1,3.1,3.12,0.0,0.0,0.1943,2262600,7050026.0,4594845269.04,3633692924.16
2018-01-22,'600396,金山股份,3.12,3.12,3.08,3.1,3.11,0.01,0.3215,0.1469,1710801,5297701.0,4594845269.04,3633692924.16
2018-01-19,'600396,金山股份,3.11,3.12,3.09,3.11,3.11,0.0,0.0,0.1366,1590937,4943769.0,4580118200.87,3622046472.48
2018-01-18,'600396,金山股份,3.11,3.12,3.08,3.09,3.1,0.01,0.3226,0.1611,1876000,5816586.0,4580118200.87,3622046472.48
2018-01-17,'600396,金山股份,3.1,3.11,3.06,3.1,3.11,-0.01,-0.3215,0.2561,2982946,9194191.0,4565391132.7,3610400020.8
2018-01-16,'600396,金山股份,3.11,3.12,3.07,3.07,3.09,0.02,0.6472,0.167,1945235,6021941.0,4580118200.87,3622046472.48
2018-01-15,'600396,金山股份,3.09,3.21,3.08,3.19,3.2,-0.11,-3.4375,0.3218,3748200,11769554.0,4550664064.53,3598753569.12
2018-01-12,'600396,金山股份,3.2,3.2,3.16,3.17,3.17,0.03,0.9464,0.3259,3795182,12067644.0,4712661814.4,3726864537.6
2018-01-11,'600396,金山股份,3.17,3.18,3.13,3.16,3.16,0.01,0.3165,0.1448,1686714,5326301.0,4668480609.89,3691925182.56
2018-01-10,'600396,金山股份,3.16,3.19,3.14,3.19,3.19,-0.03,-0.9404,0.1767,2058350,6510205.0,4653753541.72,3680278730.88
2018-01-09,'600396,金山股份,3.19,3.21,3.17,3.18,3.18,0.01,0.3145,0.231,2690012,8574135.0,4697934746.23,3715218085.92
2018-01-08,'600396,金山股份,3.18,3.21,3.17,3.2,3.2,-0.02,-0.625,0.2068,2408660,7654478.0,4683207678.06,3703571634.24
2018-01-05,'600396,金山股份,3.2,3.21,3.15,3.2,3.2,0.0,0.0,0.3108,3619900,11523732.0,4712661814.4,3726864537.6
2018-01-04,'600396,金山股份,3.2,3.25,3.15,3.17,3.17,0.03,0.9464,0.5067,5901341,18943317.0,4712661814.4,3726864537.6
2018-01-03,'600396,金山股份,3.17,3.18,3.11,3.12,3.12,0.05,1.6026,0.4574,5326695,16816229.0,4668480609.89,3691925182.56
2018-01-02,'600396,金山股份,3.12,3.13,3.08,3.1,3.1,0.02,0.6452,0.2383,2775595,8624337.0,4594845269.04,3633692924.16
