»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-03-30,'600135,¿÷ø≠Ω∫∆¨,10.92,10.99,10.7,10.85,10.82,0.1,0.9242,4.2496,15653034,169859792.0,4073069746.2,4022305276.08
2018-03-29,'600135,¿÷ø≠Ω∫∆¨,10.82,11.07,10.68,10.68,10.81,0.01,0.0925,4.5684,16827560,182460439.0,4035770572.7,3985470978.68
2018-03-28,'600135,¿÷ø≠Ω∫∆¨,10.81,11.61,10.76,11.23,11.49,-0.68,-5.9182,8.689,32005399,358260148.0,4032040655.35,3981787548.94
2018-03-27,'600135,¿÷ø≠Ω∫∆¨,11.49,11.65,10.95,11.02,11.61,-0.12,-1.0336,11.7636,43330483,486807998.0,4285675035.15,4232260771.26
2018-03-26,'600135,¿÷ø≠Ω∫∆¨,11.61,13.27,11.51,13.27,12.06,-0.45,-3.7313,16.7153,61569685,760097308.0,4330434043.35,4276461928.14
2018-03-23,'600135,¿÷ø≠Ω∫∆¨,12.06,12.06,12.06,12.06,10.96,1.1,10.0365,3.0763,11331243,136654791.0,4498280324.1,4442216266.44
2018-03-22,'600135,¿÷ø≠Ω∫∆¨,10.96,10.96,9.89,9.91,9.96,1.0,10.0402,6.1586,22684662,240299636.0,4087989415.6,4037038995.04
2018-03-21,'600135,¿÷ø≠Ω∫∆¨,9.96,10.19,9.69,9.73,9.75,0.21,2.1538,3.5349,13020662,129833006.0,3714997680.6,3668696021.04
2018-03-20,'600135,¿÷ø≠Ω∫∆¨,9.75,9.94,9.48,9.58,9.64,0.11,1.1411,2.4324,8959656,87473821.0,3636669416.25,3591343996.5
2018-03-19,'600135,¿÷ø≠Ω∫∆¨,9.64,9.77,9.48,9.55,9.56,0.08,0.8368,1.2433,4579463,44055718.0,3595640325.4,3550826269.36
2018-03-16,'600135,¿÷ø≠Ω∫∆¨,9.56,9.64,9.54,9.54,9.57,-0.01,-0.1045,0.983,3620725,34696474.0,3565800986.6,3521358831.44
2018-03-15,'600135,¿÷ø≠Ω∫∆¨,9.57,9.66,9.41,9.43,9.51,0.06,0.6309,1.2921,4759268,45336544.0,3569530903.95,3525042261.18
2018-03-14,'600135,¿÷ø≠Ω∫∆¨,9.51,9.67,9.45,9.58,9.62,-0.11,-1.1435,1.2376,4558625,43527681.0,3547151399.85,3502941682.74
2018-03-13,'600135,¿÷ø≠Ω∫∆¨,9.62,9.78,9.6,9.77,9.78,-0.16,-1.636,1.4878,5480208,53049744.0,3588180490.7,3543459409.88
2018-03-12,'600135,¿÷ø≠Ω∫∆¨,9.78,9.81,9.59,9.63,9.61,0.17,1.769,1.6811,6192081,60149962.0,3647859168.3,3602394285.72
2018-03-09,'600135,¿÷ø≠Ω∫∆¨,9.61,9.68,9.52,9.67,9.61,0.0,0.0,2.0047,7384314,70781688.0,3584450573.35,3539775980.14
2018-03-08,'600135,¿÷ø≠Ω∫∆¨,9.61,9.65,9.2,9.29,9.26,0.35,3.7797,2.329,8578836,81444912.0,3584450573.35,3539775980.14
2018-03-07,'600135,¿÷ø≠Ω∫∆¨,9.26,9.49,9.23,9.42,9.46,-0.2,-2.1142,1.21,4456907,41630337.0,3453903466.1,3410855939.24
