日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-03-30,'600378,天科股份,12.71,12.89,12.4,12.55,12.71,0.0,0.0,1.1408,3390445,43148542.0,3777326741.32,3777326741.32
2018-03-29,'600378,天科股份,12.71,13.0,12.28,12.7,12.96,-0.25,-1.929,2.0062,5962222,74560034.0,3777326741.32,3777326741.32
2018-03-28,'600378,天科股份,12.96,13.95,12.85,13.1,13.36,-0.4,-2.994,1.8105,5380810,71810717.0,3851625064.32,3851625064.32
2018-03-27,'600378,天科股份,13.36,14.49,12.5,13.43,13.65,-0.29,-2.1245,4.1976,12475133,168432619.0,3970502381.12,3970502381.12
2018-03-26,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-03-23,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-03-22,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-03-21,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-03-20,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-03-19,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-03-16,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-03-15,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-03-14,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-03-13,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-03-12,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-03-09,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-03-08,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-03-07,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-03-06,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-03-05,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-03-02,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-03-01,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-02-28,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-02-27,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-02-26,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-02-23,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-02-22,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-02-14,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-02-13,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-02-12,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-02-09,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-02-08,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-02-07,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-02-06,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-02-05,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-02-02,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-02-01,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-31,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-30,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-29,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-26,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-25,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-24,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-23,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-22,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-19,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-18,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-17,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-16,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-15,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-12,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-11,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-10,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-09,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-08,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-05,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-04,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-03,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
2018-01-02,'600378,天科股份,0.0,0.0,0.0,0.0,13.65,None,None,0.0,0,0.0,4056688435.8,4056688435.8
