ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2018-03-30,'600336,°Ä¿ÂÂê,4.48,4.49,4.43,4.46,4.44,0.04,0.9009,0.3988,2912502,12997187.0,3479854645.12,3271909872.0
2018-03-29,'600336,°Ä¿ÂÂê,4.44,4.45,4.36,4.39,4.39,0.05,1.139,0.2889,2109810,9305680.0,3448784514.36,3242696391.0
2018-03-28,'600336,°Ä¿ÂÂê,4.39,4.43,4.35,4.4,4.45,-0.06,-1.3483,0.3532,2579200,11314078.0,3409946850.91,3206179539.75
2018-03-27,'600336,°Ä¿ÂÂê,4.45,4.48,4.37,4.44,4.37,0.08,1.8307,0.4599,3358789,14863299.0,3456552047.05,3249999761.25
2018-03-26,'600336,°Ä¿ÂÂê,4.37,4.38,3.95,4.28,4.38,-0.01,-0.2283,0.5558,4059087,17287869.0,3394411785.53,3191572799.25
2018-03-23,'600336,°Ä¿ÂÂê,4.38,4.66,4.26,4.66,4.63,-0.25,-5.3996,1.0708,7820487,35028475.0,3402179318.22,3198876169.5
2018-03-22,'600336,°Ä¿ÂÂê,4.63,4.63,4.5,4.5,4.5,0.13,2.8889,1.0339,7551000,34526395.0,3596367635.47,3381460425.75
2018-03-21,'600336,°Ä¿ÂÂê,4.5,4.56,4.47,4.49,4.49,0.01,0.2227,0.6649,4855802,21926947.0,3495389710.5,3286516612.5
2018-03-20,'600336,°Ä¿ÂÂê,4.49,4.51,4.43,4.47,4.52,-0.03,-0.6637,0.5349,3906556,17457788.0,3487622177.81,3279213242.25
2018-03-19,'600336,°Ä¿ÂÂê,4.52,4.63,4.41,4.41,4.41,0.11,2.4943,0.8345,6095001,27668268.0,3510924775.88,3301123353.0
2018-03-16,'600336,°Ä¿ÂÂê,4.41,4.46,4.39,4.39,4.41,0.0,0.0,0.3034,2215785,9823203.0,3425481916.29,3220786280.25
2018-03-15,'600336,°Ä¿ÂÂê,4.41,4.45,4.35,4.43,4.45,-0.04,-0.8989,0.4059,2964193,13038236.0,3425481916.29,3220786280.25
2018-03-14,'600336,°Ä¿ÂÂê,4.45,4.56,4.44,4.56,4.54,-0.09,-1.9824,0.606,4425500,19915747.0,3456552047.05,3249999761.25
2018-03-13,'600336,°Ä¿ÂÂê,4.54,4.61,4.51,4.56,4.56,-0.02,-0.4386,0.5503,4018910,18325773.0,3526459841.26,3315730093.5
2018-03-12,'600336,°Ä¿ÂÂê,4.56,4.57,4.47,4.49,4.49,0.07,1.559,0.5208,3803245,17225324.0,3541994906.64,3330336834.0
2018-03-09,'600336,°Ä¿ÂÂê,4.49,4.51,4.38,4.41,4.41,0.08,1.8141,0.5715,4173555,18554846.0,3487622177.81,3279213242.25
2018-03-08,'600336,°Ä¿ÂÂê,4.41,4.41,4.37,4.39,4.39,0.02,0.4556,0.3669,2679383,11774571.0,3425481916.29,3220786280.25
2018-03-07,'600336,°Ä¿ÂÂê,4.39,4.42,4.36,4.41,4.42,-0.03,-0.6787,0.3626,2648300,11606391.0,3409946850.91,3206179539.75
2018-03-06,'600336,°Ä¿ÂÂê,4.42,4.42,4.33,4.36,4.37,0.05,1.1442,0.622,4542631,19872305.0,3433249448.98,3228089650.5
2018-03-05,'600336,°Ä¿ÂÂê,4.37,4.38,4.33,4.36,4.37,0.0,0.0,0.3496,2553133,11104549.0,3394411785.53,3191572799.25
2018-03-02,'600336,°Ä¿ÂÂê,4.37,4.49,4.34,4.35,4.37,0.0,0.0,0.6058,4424233,19494727.0,3394411785.53,3191572799.25
2018-03-01,'600336,°Ä¿ÂÂê,4.37,4.38,4.27,4.3,4.29,0.08,1.8648,0.4582,3346387,14513493.0,3394411785.53,3191572799.25
2018-02-28,'600336,°Ä¿ÂÂê,4.29,4.31,4.25,4.31,4.31,-0.02,-0.464,0.2185,1596063,6839975.0,3332271524.01,3133145837.25
2018-02-27,'600336,°Ä¿ÂÂê,4.31,4.34,4.3,4.32,4.33,-0.02,-0.4619,0.266,1942551,8381358.0,3347806589.39,3147752577.75
2018-02-26,'600336,°Ä¿ÂÂê,4.33,4.35,4.26,4.29,4.28,0.05,1.1682,0.4554,3326034,14337650.0,3363341654.77,3162359318.25
2018-02-23,'600336,°Ä¿ÂÂê,4.28,4.3,4.24,4.29,4.32,-0.04,-0.9259,0.3704,2705311,11541137.0,3324503991.32,3125842467.0
2018-02-22,'600336,°Ä¿ÂÂê,4.32,4.47,4.2,4.25,4.17,0.15,3.5971,0.6034,4406635,19053332.0,3355574122.08,3155055948.0
2018-02-14,'600336,°Ä¿ÂÂê,4.17,4.22,4.15,4.16,4.19,-0.02,-0.4773,0.1945,1420349,5920830.0,3239061131.73,3045505394.25
2018-02-13,'600336,°Ä¿ÂÂê,4.19,4.25,4.18,4.22,4.22,-0.03,-0.7109,0.2531,1848600,7782847.0,3254596197.11,3060112134.75
2018-02-12,'600336,°Ä¿ÂÂê,4.22,4.23,4.13,4.14,4.12,0.1,2.4272,0.2863,2090768,8796576.0,3277898795.18,3082022245.5
2018-02-09,'600336,°Ä¿ÂÂê,4.12,4.14,4.04,4.1,4.2,-0.08,-1.9048,0.5399,3942752,16135708.0,3200223468.28,3008988543.0
2018-02-08,'600336,°Ä¿ÂÂê,4.2,4.28,4.12,4.16,4.09,0.11,2.6895,0.5244,3829724,16116735.0,3262363729.8,3067415505.0
2018-02-07,'600336,°Ä¿ÂÂê,4.09,4.15,4.0,4.12,4.1,-0.01,-0.2439,0.5248,3833100,15637133.0,3176920870.21,2987078432.25
2018-02-06,'600336,°Ä¿ÂÂê,4.1,4.14,3.96,4.0,4.07,0.03,0.7371,0.9784,7145502,28986413.0,3184688402.9,2994381802.5
2018-02-05,'600336,°Ä¿ÂÂê,4.07,4.08,3.92,4.05,4.09,-0.02,-0.489,0.4881,3564666,14425079.0,3161385804.83,2972471691.75
2018-02-02,'600336,°Ä¿ÂÂê,4.09,4.23,3.99,4.23,4.22,-0.13,-3.0806,1.3459,9829329,40194971.0,3176920870.21,2987078432.25
2018-02-01,'600336,°Ä¿ÂÂê,4.22,4.72,4.22,4.7,4.69,-0.47,-10.0213,1.612,11772896,51237600.0,3277898795.18,3082022245.5
2018-01-31,'600336,°Ä¿ÂÂê,4.69,4.87,4.67,4.85,4.85,-0.16,-3.299,0.5786,4225402,20098176.0,3642972831.61,3425280647.25
2018-01-30,'600336,°Ä¿ÂÂê,4.85,4.92,4.85,4.87,4.87,-0.02,-0.4107,0.185,1351199,6596313.0,3767253354.65,3542134571.25
2018-01-29,'600336,°Ä¿ÂÂê,4.87,5.0,4.83,4.99,4.99,-0.12,-2.4048,0.3816,2786682,13706632.0,3782788420.03,3556741311.75
2018-01-26,'600336,°Ä¿ÂÂê,4.99,5.0,4.93,4.94,4.95,0.04,0.8081,0.5876,4291628,21350400.0,3875998812.31,3644381754.75
2018-01-25,'600336,°Ä¿ÂÂê,4.95,4.97,4.9,4.91,4.93,0.02,0.4057,0.3325,2428399,12000908.0,3844928681.55,3615168273.75
2018-01-24,'600336,°Ä¿ÂÂê,4.93,4.93,4.87,4.92,4.93,0.0,0.0,0.2049,1496672,7348822.0,3829393616.17,3600561533.25
2018-01-23,'600336,°Ä¿ÂÂê,4.93,4.96,4.87,4.95,4.93,0.0,0.0,0.2988,2182435,10745576.0,3829393616.17,3600561533.25
2018-01-22,'600336,°Ä¿ÂÂê,4.93,4.97,4.84,4.89,4.89,0.04,0.818,0.3114,2274307,11172428.0,3829393616.17,3600561533.25
2018-01-19,'600336,°Ä¿ÂÂê,4.89,4.94,4.8,4.87,4.88,0.01,0.2049,0.2741,2002200,9779358.0,3798323485.41,3571348052.25
2018-01-18,'600336,°Ä¿ÂÂê,4.88,4.89,4.85,4.88,4.88,0.0,0.0,0.1917,1400279,6818118.0,3790555952.72,3564044682.0
2018-01-17,'600336,°Ä¿ÂÂê,4.88,4.89,4.8,4.84,4.84,0.04,0.8264,0.2615,1909900,9259164.0,3790555952.72,3564044682.0
2018-01-16,'600336,°Ä¿ÂÂê,4.84,4.86,4.79,4.84,4.84,0.0,0.0,0.2612,1907723,9217346.0,3759485821.96,3534831201.0
2018-01-15,'600336,°Ä¿ÂÂê,4.84,4.97,4.83,4.96,4.97,-0.13,-2.6157,0.4963,3624621,17710166.0,3759485821.96,3534831201.0
2018-01-12,'600336,°Ä¿ÂÂê,4.97,4.99,4.93,4.96,4.97,0.0,0.0,0.3424,2500393,12394501.0,3860463746.93,3629775014.25
2018-01-11,'600336,°Ä¿ÂÂê,4.97,5.0,4.92,4.99,4.99,-0.02,-0.4008,0.5727,4182890,20685731.0,3860463746.93,3629775014.25
2018-01-10,'600336,°Ä¿ÂÂê,4.99,5.09,4.99,5.09,5.08,-0.09,-1.7717,0.3598,2627400,13219475.0,3875998812.31,3644381754.75
2018-01-09,'600336,°Ä¿ÂÂê,5.08,5.11,5.04,5.1,5.1,-0.02,-0.3922,0.2822,2061366,10461805.0,3945906606.52,3710112087.0
