»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-03-30,'600356,∫„∑·÷Ω“µ,7.98,7.98,7.81,7.83,7.82,0.16,2.046,0.5126,1531357,12096891.0,2383876396.44,2383876396.44
2018-03-29,'600356,∫„∑·÷Ω“µ,7.82,7.83,7.74,7.77,7.77,0.05,0.6435,0.3289,982640,7665349.0,2336079375.96,2336079375.96
2018-03-28,'600356,∫„∑·÷Ω“µ,7.77,7.79,7.66,7.68,7.75,0.02,0.2581,0.4302,1285120,9944005.0,2321142807.06,2321142807.06
2018-03-27,'600356,∫„∑·÷Ω“µ,7.75,7.82,7.67,7.69,7.63,0.12,1.5727,0.5027,1501692,11647254.0,2315168179.5,2315168179.5
2018-03-26,'600356,∫„∑·÷Ω“µ,7.63,7.64,7.45,7.55,7.62,0.01,0.1312,0.6239,1863671,14056241.0,2279320414.14,2279320414.14
2018-03-23,'600356,∫„∑·÷Ω“µ,7.62,7.93,7.49,7.93,8.11,-0.49,-6.0419,1.0845,3239716,25131869.0,2276333100.36,2276333100.36
2018-03-22,'600356,∫„∑·÷Ω“µ,8.11,8.15,7.93,7.95,7.93,0.18,2.2699,1.5113,4514592,36363132.0,2422711475.58,2422711475.58
2018-03-21,'600356,∫„∑·÷Ω“µ,7.93,8.07,7.9,7.92,7.92,0.01,0.1263,0.8542,2551780,20392817.0,2368939827.54,2368939827.54
2018-03-20,'600356,∫„∑·÷Ω“µ,7.92,7.94,7.84,7.91,7.91,0.01,0.1264,0.4199,1254371,9894832.0,2365952513.76,2365952513.76
2018-03-19,'600356,∫„∑·÷Ω“µ,7.91,7.97,7.86,7.9,7.92,-0.01,-0.1263,0.3714,1109590,8790719.0,2362965199.98,2362965199.98
2018-03-16,'600356,∫„∑·÷Ω“µ,7.92,7.93,7.82,7.85,7.85,0.07,0.8917,0.4007,1196900,9449972.0,2365952513.76,2365952513.76
2018-03-15,'600356,∫„∑·÷Ω“µ,7.85,7.94,7.79,7.91,7.91,-0.06,-0.7585,0.4412,1317909,10338078.0,2345041317.3,2345041317.3
2018-03-14,'600356,∫„∑·÷Ω“µ,7.91,8.05,7.9,8.0,8.02,-0.11,-1.3716,0.507,1514600,12054196.0,2362965199.98,2362965199.98
2018-03-13,'600356,∫„∑·÷Ω“µ,8.02,8.11,7.99,8.1,8.1,-0.08,-0.9877,0.6861,2049590,16475556.0,2395825651.56,2395825651.56
2018-03-12,'600356,∫„∑·÷Ω“µ,8.1,8.12,8.02,8.06,8.05,0.05,0.6211,0.762,2276200,18373866.0,2419724161.8,2419724161.8
2018-03-09,'600356,∫„∑·÷Ω“µ,8.05,8.07,7.92,7.95,7.94,0.11,1.3854,0.9244,2761481,22128353.0,2404787592.9,2404787592.9
2018-03-08,'600356,∫„∑·÷Ω“µ,7.94,7.96,7.88,7.89,7.91,0.03,0.3793,0.6445,1925316,15238085.0,2371927141.32,2371927141.32
2018-03-07,'600356,∫„∑·÷Ω“µ,7.91,7.94,7.88,7.92,7.91,0.0,0.0,0.4332,1294074,10237817.0,2362965199.98,2362965199.98
2018-03-06,'600356,∫„∑·÷Ω“µ,7.91,7.92,7.82,7.86,7.86,0.05,0.6361,0.5271,1574734,12390788.0,2362965199.98,2362965199.98
2018-03-05,'600356,∫„∑·÷Ω“µ,7.86,7.88,7.81,7.85,7.84,0.02,0.2551,0.3249,970437,7618265.0,2348028631.08,2348028631.08
2018-03-02,'600356,∫„∑·÷Ω“µ,7.84,7.93,7.79,7.85,7.88,-0.04,-0.5076,0.5459,1630757,12810045.0,2342054003.52,2342054003.52
2018-03-01,'600356,∫„∑·÷Ω“µ,7.88,7.88,7.73,7.73,7.8,0.08,1.0256,0.7097,2120201,16620341.0,2354003258.64,2354003258.64
2018-02-28,'600356,∫„∑·÷Ω“µ,7.8,7.92,7.68,7.79,7.81,-0.01,-0.128,0.8437,2520515,19658034.0,2330104748.4,2330104748.4
2018-02-27,'600356,∫„∑·÷Ω“µ,7.81,7.88,7.73,7.88,7.86,-0.05,-0.6361,0.7235,2161211,16815609.0,2333092062.18,2333092062.18
2018-02-26,'600356,∫„∑·÷Ω“µ,7.86,7.87,7.67,7.72,7.74,0.12,1.5504,1.0299,3076536,23967914.0,2348028631.08,2348028631.08
2018-02-23,'600356,∫„∑·÷Ω“µ,7.74,7.87,7.49,7.52,7.52,0.22,2.9255,0.9649,2882491,21985741.0,2312180865.72,2312180865.72
2018-02-22,'600356,∫„∑·÷Ω“µ,7.52,7.53,7.43,7.46,7.43,0.09,1.2113,0.3582,1070071,8022034.0,2246459962.56,2246459962.56
2018-02-14,'600356,∫„∑·÷Ω“µ,7.43,7.48,7.38,7.38,7.44,-0.01,-0.1344,0.1932,577108,4293310.0,2219574138.54,2219574138.54
2018-02-13,'600356,∫„∑·÷Ω“µ,7.44,7.55,7.42,7.5,7.48,-0.04,-0.5348,0.4052,1210600,9082496.0,2222561452.32,2222561452.32
2018-02-12,'600356,∫„∑·÷Ω“µ,7.48,7.5,7.38,7.4,7.38,0.1,1.355,0.3626,1083093,8089086.0,2234510707.44,2234510707.44
2018-02-09,'600356,∫„∑·÷Ω“µ,7.38,7.58,7.25,7.58,7.7,-0.32,-4.1558,0.6105,1823780,13518536.0,2204637569.64,2204637569.64
2018-02-08,'600356,∫„∑·÷Ω“µ,7.7,7.71,7.56,7.56,7.56,0.14,1.8519,0.3771,1126439,8620984.0,2300231610.6,2300231610.6
2018-02-07,'600356,∫„∑·÷Ω“µ,7.56,7.74,7.45,7.66,7.55,0.01,0.1325,0.5461,1631421,12423071.0,2258409217.68,2258409217.68
2018-02-06,'600356,∫„∑·÷Ω“µ,7.55,7.98,7.48,7.92,8.02,-0.47,-5.8603,0.958,2861885,22217556.0,2255421903.9,2255421903.9
2018-02-05,'600356,∫„∑·÷Ω“µ,8.02,8.04,7.92,7.95,8.01,0.01,0.1248,0.3781,1129460,9015380.0,2395825651.56,2395825651.56
2018-02-02,'600356,∫„∑·÷Ω“µ,8.01,8.08,7.9,7.91,7.99,0.02,0.2503,0.4892,1461495,11693503.0,2392838337.78,2392838337.78
2018-02-01,'600356,∫„∑·÷Ω“µ,7.99,8.36,7.9,8.26,8.28,-0.29,-3.5024,0.8983,2683360,21854059.0,2386863710.22,2386863710.22
2018-01-31,'600356,∫„∑·÷Ω“µ,8.28,8.45,8.26,8.38,8.41,-0.13,-1.5458,0.5557,1660100,13834076.0,2473495809.84,2473495809.84
2018-01-30,'600356,∫„∑·÷Ω“µ,8.41,8.42,8.32,8.37,8.36,0.05,0.5981,0.4616,1378938,11551914.0,2512330888.98,2512330888.98
2018-01-29,'600356,∫„∑·÷Ω“µ,8.36,8.51,8.32,8.48,8.47,-0.11,-1.2987,0.5374,1605241,13471888.0,2497394320.08,2497394320.08
2018-01-26,'600356,∫„∑·÷Ω“µ,8.47,8.55,8.45,8.45,8.48,-0.01,-0.1179,0.6521,1948067,16560345.0,2530254771.66,2530254771.66
2018-01-25,'600356,∫„∑·÷Ω“µ,8.48,8.58,8.46,8.5,8.49,-0.01,-0.1178,0.7916,2364900,20149603.0,2533242085.44,2533242085.44
2018-01-24,'600356,∫„∑·÷Ω“µ,8.49,8.55,8.39,8.5,8.56,-0.07,-0.8178,1.0623,3173291,26792169.0,2536229399.22,2536229399.22
2018-01-23,'600356,∫„∑·÷Ω“µ,8.56,8.85,8.53,8.85,8.53,0.03,0.3517,1.8978,5669361,49345347.0,2557140595.68,2557140595.68
2018-01-22,'600356,∫„∑·÷Ω“µ,8.53,8.55,8.26,8.33,8.34,0.19,2.2782,1.1322,3382358,28578058.0,2548178654.34,2548178654.34
2018-01-19,'600356,∫„∑·÷Ω“µ,8.34,8.41,8.3,8.3,8.3,0.04,0.4819,0.576,1720600,14379292.0,2491419692.52,2491419692.52
2018-01-18,'600356,∫„∑·÷Ω“µ,8.3,8.35,8.26,8.27,8.27,0.03,0.3628,0.341,1018823,8457771.0,2479470437.4,2479470437.4
2018-01-17,'600356,∫„∑·÷Ω“µ,8.27,8.3,8.2,8.24,8.24,0.03,0.3641,0.2575,769226,6343478.0,2470508496.06,2470508496.06
2018-01-16,'600356,∫„∑·÷Ω“µ,8.24,8.26,8.16,8.16,8.18,0.06,0.7335,0.3555,1062031,8715950.0,2461546554.72,2461546554.72
2018-01-15,'600356,∫„∑·÷Ω“µ,8.18,8.4,8.14,8.38,8.4,-0.22,-2.619,0.7154,2137251,17705551.0,2443622672.04,2443622672.04
2018-01-12,'600356,∫„∑·÷Ω“µ,8.4,8.47,8.36,8.36,8.39,0.01,0.1192,0.4401,1314759,11090390.0,2509343575.2,2509343575.2
2018-01-11,'600356,∫„∑·÷Ω“µ,8.39,8.41,8.31,8.31,8.34,0.05,0.5995,0.4303,1285300,10750451.0,2506356261.42,2506356261.42
2018-01-10,'600356,∫„∑·÷Ω“µ,8.34,8.46,8.3,8.46,8.47,-0.13,-1.5348,0.6116,1827066,15279381.0,2491419692.52,2491419692.52
2018-01-09,'600356,∫„∑·÷Ω“µ,8.47,8.59,8.41,8.51,8.55,-0.08,-0.9357,0.6776,2024111,17147816.0,2530254771.66,2530254771.66
2018-01-08,'600356,∫„∑·÷Ω“µ,8.55,8.57,8.39,8.47,8.5,0.05,0.5882,0.9012,2692041,22780099.0,2554153281.9,2554153281.9
2018-01-05,'600356,∫„∑·÷Ω“µ,8.5,8.56,8.39,8.43,8.41,0.09,1.0702,0.6624,1978852,16800859.0,2539216713.0,2539216713.0
2018-01-04,'600356,∫„∑·÷Ω“µ,8.41,8.45,8.36,8.41,8.44,-0.03,-0.3555,0.4689,1400621,11758769.0,2512330888.98,2512330888.98
2018-01-03,'600356,∫„∑·÷Ω“µ,8.44,8.48,8.37,8.42,8.4,0.04,0.4762,0.5695,1701365,14340927.0,2521292830.32,2521292830.32
2018-01-02,'600356,∫„∑·÷Ω“µ,8.4,8.48,8.28,8.3,8.3,0.1,1.2048,0.8007,2391900,20095786.0,2509343575.2,2509343575.2
