日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-03-30,'600281,太化股份,5.06,5.07,4.99,5.0,5.01,0.05,0.998,0.4972,2557501,12889082.0,2602874246.5,2602874246.5
2018-03-29,'600281,太化股份,5.01,5.06,4.96,4.96,5.06,-0.05,-0.9881,0.7121,3663233,18323284.0,2577154145.25,2577154145.25
2018-03-28,'600281,太化股份,5.06,5.12,4.97,5.0,5.23,-0.17,-3.2505,1.3791,7094343,35738182.0,2602874246.5,2602874246.5
2018-03-27,'600281,太化股份,5.23,5.39,5.09,5.39,5.03,0.2,3.9761,2.6392,13576323,71103057.0,2690322590.75,2690322590.75
2018-03-26,'600281,太化股份,5.03,5.03,5.03,5.03,4.57,0.46,10.0656,0.9319,4793945,24113543.0,2587442185.75,2587442185.75
2018-03-23,'600281,太化股份,4.57,4.88,4.51,4.88,4.9,-0.33,-6.7347,0.5384,2769343,12940138.0,2350817254.25,2350817254.25
2018-03-22,'600281,太化股份,4.9,5.0,4.86,4.99,5.0,-0.1,-2.0,0.4758,2447369,12031952.0,2520569922.5,2520569922.5
2018-03-21,'600281,太化股份,5.0,5.03,4.94,4.95,5.08,-0.08,-1.5748,0.8658,4453759,22194997.0,2572010125.0,2572010125.0
2018-03-20,'600281,太化股份,5.08,5.31,4.83,4.85,4.83,0.25,5.176,1.5821,8138433,41462512.0,2613162287.0,2613162287.0
2018-03-19,'600281,太化股份,4.83,4.87,4.77,4.84,4.87,-0.04,-0.8214,0.4261,2192000,10560820.0,2484561780.75,2484561780.75
2018-03-16,'600281,太化股份,4.87,4.92,4.83,4.89,4.89,-0.02,-0.409,0.2804,1442290,7040281.0,2505137861.75,2505137861.75
2018-03-15,'600281,太化股份,4.89,4.99,4.85,4.99,4.97,-0.08,-1.6097,0.324,1666783,8181298.0,2515425902.25,2515425902.25
2018-03-14,'600281,太化股份,4.97,5.09,4.94,5.05,5.08,-0.11,-2.1654,0.3447,1773095,8869493.0,2556578064.25,2556578064.25
2018-03-13,'600281,太化股份,5.08,5.12,5.06,5.09,5.09,-0.01,-0.1965,0.2933,1508867,7671408.0,2613162287.0,2613162287.0
2018-03-12,'600281,太化股份,5.09,5.1,5.05,5.06,5.05,0.04,0.7921,0.3749,1928645,9788171.0,2618306307.25,2618306307.25
2018-03-09,'600281,太化股份,5.05,5.06,4.97,4.99,5.01,0.04,0.7984,0.352,1810719,9085008.0,2597730226.25,2597730226.25
2018-03-08,'600281,太化股份,5.01,5.04,4.98,4.98,4.98,0.03,0.6024,0.2433,1251402,6257686.0,2577154145.25,2577154145.25
2018-03-07,'600281,太化股份,4.98,5.04,4.97,5.04,5.02,-0.04,-0.7968,0.1861,957200,4787706.0,2561722084.5,2561722084.5
2018-03-06,'600281,太化股份,5.02,5.04,4.92,4.92,4.97,0.05,1.006,0.2334,1200700,5990917.0,2582298165.5,2582298165.5
2018-03-05,'600281,太化股份,4.97,5.05,4.87,5.0,5.03,-0.06,-1.1928,0.2212,1137700,5662571.0,2556578064.25,2556578064.25
2018-03-02,'600281,太化股份,5.03,5.09,4.96,5.04,5.03,0.0,0.0,0.2127,1094372,5497454.0,2587442185.75,2587442185.75
