ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2018-03-30,'600258,Ê×ÂÃ¾Æµê,28.8,30.47,28.37,29.6,29.38,-0.58,-1.9741,2.3937,12459196,362861403.0,23493391257.6,14990624265.6
2018-03-29,'600258,Ê×ÂÃ¾Æµê,29.38,29.78,27.78,28.95,28.89,0.49,1.6961,1.0672,5554753,159707261.0,23966522053.8,15292518782.1
2018-03-28,'600258,Ê×ÂÃ¾Æµê,28.89,29.48,28.55,29.17,29.76,-0.87,-2.9234,0.9758,5078899,146863022.0,23566808105.3,15037469966.4
2018-03-27,'600258,Ê×ÂÃ¾Æµê,29.76,30.5,29.07,30.24,29.87,-0.11,-0.3683,1.2798,6661538,199314375.0,24276504299.5,15490311741.1
2018-03-26,'600258,Ê×ÂÃ¾Æµê,29.87,30.0,28.61,28.86,29.32,0.55,1.8759,1.1317,5890585,173539145.0,24366236002.2,15547567597.7
2018-03-23,'600258,Ê×ÂÃ¾Æµê,29.32,30.45,28.66,29.19,31.11,-1.79,-5.7538,1.5075,7846607,232152311.0,23917577488.6,15261288314.8
2018-03-22,'600258,Ê×ÂÃ¾Æµê,31.11,32.5,30.69,32.45,32.65,-1.54,-4.7167,1.0285,5353348,168346404.0,25377757014.7,16192997253.6
2018-03-21,'600258,Ê×ÂÃ¾Æµê,32.65,33.1,31.95,32.25,32.37,0.28,0.865,1.0056,5234247,170773657.0,26634000852.8,16994579245.5
2018-03-20,'600258,Ê×ÂÃ¾Æµê,32.37,32.45,31.5,31.9,32.27,0.1,0.3099,0.6668,3470655,110950518.0,26405592882.2,16848837065.2
2018-03-19,'600258,Ê×ÂÃ¾Æµê,32.27,32.49,31.02,32.02,32.24,0.03,0.0931,0.7456,3880890,123385822.0,26324018607.0,16796786286.5
2018-03-16,'600258,Ê×ÂÃ¾Æµê,32.24,32.79,32.06,32.24,32.23,0.01,0.031,1.0052,5232372,169929417.0,26299546324.5,16781171052.9
2018-03-15,'600258,Ê×ÂÃ¾Æµê,32.23,33.05,31.78,33.05,33.58,-1.35,-4.0203,1.9665,10235888,328781157.0,26291388897.0,16775965975.0
2018-03-14,'600258,Ê×ÂÃ¾Æµê,33.58,34.06,33.2,34.01,34.26,-0.68,-1.9848,1.0307,5365042,179759174.0,27392641612.2,17478651487.5
2018-03-13,'600258,Ê×ÂÃ¾Æµê,34.26,34.9,33.8,34.8,35.0,-0.74,-2.1143,0.9443,4915233,169085897.0,27947346683.5,17832596782.6
2018-03-12,'600258,Ê×ÂÃ¾Æµê,35.0,35.39,33.62,34.25,34.15,0.85,2.489,1.3022,6777919,235481188.0,28550996320.0,18217772545.0
2018-03-09,'600258,Ê×ÂÃ¾Æµê,34.15,34.4,32.56,32.82,32.81,1.34,4.0841,1.3959,7265581,243918838.0,27857614980.8,17775340926.0
2018-03-08,'600258,Ê×ÂÃ¾Æµê,32.81,33.07,32.16,32.46,32.83,-0.02,-0.0609,0.9115,4744682,154739217.0,26764519693.1,17077860491.5
2018-03-07,'600258,Ê×ÂÃ¾Æµê,32.83,33.43,32.45,33.16,33.18,-0.35,-1.0549,0.7555,3932211,129052266.0,26780834548.2,17088270647.2
2018-03-06,'600258,Ê×ÂÃ¾Æµê,33.18,33.55,31.4,31.42,31.23,1.95,6.244,1.2414,6461832,211348002.0,27066344511.4,17270448372.7
