日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-03-30,'600317,营口港,3.04,3.06,3.01,3.05,3.05,-0.01,-0.3279,0.0551,3564200,10821947.0,19677868329.1,19677868329.1
2018-03-29,'600317,营口港,3.05,3.08,3.02,3.02,3.02,0.03,0.9934,0.0637,4125100,12589528.0,19742598159.2,19742598159.2
2018-03-28,'600317,营口港,3.02,3.05,3.01,3.02,3.08,-0.06,-1.9481,0.1057,6839900,20706927.0,19548408669.1,19548408669.1
2018-03-27,'600317,营口港,3.08,3.18,2.99,3.01,2.98,0.1,3.3557,0.173,11195701,34525853.0,19936787649.2,19936787649.2
2018-03-26,'600317,营口港,2.98,2.98,2.88,2.91,2.93,0.05,1.7065,0.0997,6451473,18875336.0,19289489348.9,19289489348.9
2018-03-23,'600317,营口港,2.93,3.07,2.87,3.03,3.09,-0.16,-5.178,0.2131,13795757,41070721.0,18965840198.8,18965840198.8
2018-03-22,'600317,营口港,3.09,3.11,3.09,3.09,3.1,-0.01,-0.3226,0.0443,2869564,8889029.0,20001517479.3,20001517479.3
2018-03-21,'600317,营口港,3.1,3.17,3.09,3.16,3.13,-0.03,-0.9585,0.0805,5210335,16294421.0,20066247309.3,20066247309.3
2018-03-20,'600317,营口港,3.13,3.14,3.11,3.14,3.16,-0.03,-0.9494,0.0496,3209500,10032829.0,20260436799.4,20260436799.4
2018-03-19,'600317,营口港,3.16,3.17,3.05,3.09,3.09,0.07,2.2654,0.1404,9090634,28383319.0,20454626289.5,20454626289.5
2018-03-16,'600317,营口港,3.09,3.13,3.07,3.13,3.14,-0.05,-1.5924,0.0666,4311437,13373759.0,20001517479.3,20001517479.3
2018-03-15,'600317,营口港,3.14,3.15,3.08,3.11,3.12,0.02,0.641,0.089,5762522,17916274.0,20325166629.4,20325166629.4
2018-03-14,'600317,营口港,3.12,3.16,3.11,3.15,3.18,-0.06,-1.8868,0.1203,7785501,24363888.0,20195706969.4,20195706969.4
2018-03-13,'600317,营口港,3.18,3.29,3.11,3.13,3.13,0.05,1.5974,0.1622,10497563,33338795.0,20584085949.5,20584085949.5
2018-03-12,'600317,营口港,3.13,3.14,3.11,3.12,3.12,0.01,0.3205,0.091,5889175,18405977.0,20260436799.4,20260436799.4
2018-03-09,'600317,营口港,3.12,3.14,3.08,3.09,3.08,0.04,1.2987,0.1069,6917403,21578836.0,20195706969.4,20195706969.4
2018-03-08,'600317,营口港,3.08,3.09,3.06,3.07,3.07,0.01,0.3257,0.0486,3142685,9659221.0,19936787649.2,19936787649.2
2018-03-07,'600317,营口港,3.07,3.1,3.07,3.1,3.09,-0.02,-0.6472,0.0612,3963301,12222888.0,19872057819.2,19872057819.2
2018-03-06,'600317,营口港,3.09,3.09,3.07,3.09,3.08,0.01,0.3247,0.0618,3999490,12322011.0,20001517479.3,20001517479.3
2018-03-05,'600317,营口港,3.08,3.1,3.07,3.09,3.09,-0.01,-0.3236,0.0602,3893800,12003178.0,19936787649.2,19936787649.2
2018-03-02,'600317,营口港,3.09,3.1,3.08,3.1,3.1,-0.01,-0.3226,0.0423,2738853,8473604.0,20001517479.3,20001517479.3
2018-03-01,'600317,营口港,3.1,3.11,3.07,3.09,3.09,0.01,0.3236,0.0647,4188100,12949794.0,20066247309.3,20066247309.3
2018-02-28,'600317,营口港,3.09,3.12,3.07,3.1,3.1,-0.01,-0.3226,0.0616,3989203,12351244.0,20001517479.3,20001517479.3
2018-02-27,'600317,营口港,3.1,3.15,3.1,3.15,3.14,-0.04,-1.2739,0.0662,4283100,13340335.0,20066247309.3,20066247309.3
2018-02-26,'600317,营口港,3.14,3.15,3.12,3.12,3.12,0.02,0.641,0.0747,4832430,15159718.0,20325166629.4,20325166629.4
2018-02-23,'600317,营口港,3.12,3.12,3.05,3.06,3.05,0.07,2.2951,0.0926,5996534,18524735.0,20195706969.4,20195706969.4
