ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2018-03-30,'600177,ÑÅ¸ê¶û,8.47,8.48,8.39,8.44,8.41,0.06,0.7134,0.1493,5348792,45131641.0,30334859079.9,30334859079.9
2018-03-29,'600177,ÑÅ¸ê¶û,8.41,8.45,8.3,8.34,8.35,0.06,0.7186,0.1633,5847647,48935655.0,30119972238.7,30119972238.7
2018-03-28,'600177,ÑÅ¸ê¶û,8.35,8.54,8.32,8.4,8.48,-0.13,-1.533,0.1984,7106929,59785659.0,29905085397.5,29905085397.5
2018-03-27,'600177,ÑÅ¸ê¶û,8.48,8.53,8.38,8.46,8.41,0.07,0.8323,0.2003,7174481,60680929.0,30370673553.4,30370673553.4
2018-03-26,'600177,ÑÅ¸ê¶û,8.41,8.44,8.24,8.38,8.42,-0.01,-0.1188,0.2209,7911296,65911783.0,30119972238.7,30119972238.7
2018-03-23,'600177,ÑÅ¸ê¶û,8.42,8.62,8.25,8.57,8.72,-0.3,-3.4404,0.4327,15496268,130749242.0,30155786712.3,30155786712.3
2018-03-22,'600177,ÑÅ¸ê¶û,8.72,8.78,8.68,8.75,8.76,-0.04,-0.4566,0.1354,4848020,42325714.0,31230220918.2,31230220918.2
2018-03-21,'600177,ÑÅ¸ê¶û,8.76,8.82,8.73,8.76,8.75,0.01,0.1143,0.1499,5370304,47223562.0,31373478812.3,31373478812.3
2018-03-20,'600177,ÑÅ¸ê¶û,8.75,8.78,8.7,8.75,8.77,-0.02,-0.2281,0.1574,5638163,49240324.0,31337664338.8,31337664338.8
2018-03-19,'600177,ÑÅ¸ê¶û,8.77,8.79,8.71,8.76,8.78,-0.01,-0.1139,0.1404,5029078,44061271.0,31409293285.8,31409293285.8
