日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-03-30,'600410,华胜天成,11.84,11.92,11.49,11.49,11.4,0.44,3.8596,4.7592,52061113,611871201.0,13057632502.7,12951709494.7
2018-03-29,'600410,华胜天成,11.4,11.76,11.24,11.31,11.21,0.19,1.6949,3.5521,38855751,445492346.0,12572382646.2,12470395966.2
2018-03-28,'600410,华胜天成,11.21,11.5,11.15,11.2,11.38,-0.17,-1.4938,3.2042,35050024,396597749.0,12362842935.4,12262556033.4
2018-03-27,'600410,华胜天成,11.38,11.49,11.01,11.08,10.88,0.5,4.5956,4.962,54279030,611982874.0,12550325834.5,12448518078.5
2018-03-26,'600410,华胜天成,10.88,10.94,10.42,10.42,10.35,0.53,5.1208,3.6077,39464359,422781314.0,11998905543.0,11901570887.0
2018-03-23,'600410,华胜天成,10.35,11.06,10.22,10.79,11.22,-0.87,-7.754,4.977,54442970,579695684.0,11414400034.0,11321806864.0
2018-03-22,'600410,华胜天成,11.22,11.53,11.17,11.3,11.2,0.02,0.1786,3.484,38111190,431108205.0,12373871341.3,12273494977.3
2018-03-21,'600410,华胜天成,11.2,11.95,11.15,11.75,11.76,-0.56,-4.7619,4.5121,49357866,569653860.0,12351814529.6,12251617089.6
2018-03-20,'600410,华胜天成,11.76,11.9,11.52,11.53,11.8,-0.04,-0.339,3.7179,40670369,476271631.0,12969405256.1,12864197944.1
2018-03-19,'600410,华胜天成,11.8,12.07,11.29,11.35,11.35,0.45,3.9648,6.0,65634200,772903956.0,13013518879.4,12907953719.4
2018-03-16,'600410,华胜天成,11.35,11.56,11.31,11.47,11.52,-0.17,-1.4757,2.9235,31980499,365566407.0,12517240617.0,12415701247.0
2018-03-15,'600410,华胜天成,11.52,11.53,11.11,11.26,11.27,0.25,2.2183,4.4937,49156359,557435951.0,12704723516.2,12601663292.2
2018-03-14,'600410,华胜天成,11.27,11.78,11.21,11.61,11.71,-0.44,-3.7575,4.8893,53483756,615394313.0,12429013370.4,12328189696.4
2018-03-13,'600410,华胜天成,11.71,12.05,11.67,12.05,12.12,-0.41,-3.3828,4.8943,53538228,634123216.0,12914263226.9,12809503224.9
2018-03-12,'600410,华胜天成,12.12,12.28,11.78,11.81,11.76,0.36,3.0612,7.2726,79554558,954897756.0,13366427866.0,13257999922.0
2018-03-09,'600410,华胜天成,11.76,12.19,11.37,11.5,11.58,0.18,1.5544,7.982,87314967,1027147879.0,12969405256.1,12864197944.1
2018-03-08,'600410,华胜天成,11.58,11.62,11.33,11.51,11.68,-0.1,-0.8562,5.1855,56723985,650749034.0,12770893951.1,12667296955.1
