»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-03-30,'600132,÷ÿ«Ï∆°æ∆,21.59,21.6,21.13,21.22,21.21,0.38,1.7916,0.355,1718283,36792883.0,10448938164.8,10448938164.8
2018-03-29,'600132,÷ÿ«Ï∆°æ∆,21.21,21.22,20.81,20.95,20.88,0.33,1.5805,0.4097,1982853,41729363.0,10265029109.6,10265029109.6
2018-03-28,'600132,÷ÿ«Ï∆°æ∆,20.88,21.32,20.62,20.89,21.07,-0.19,-0.9018,0.2949,1427110,29850428.0,10105318614.2,10105318614.2
2018-03-27,'600132,÷ÿ«Ï∆°æ∆,21.07,21.23,20.8,21.01,21.01,0.06,0.2856,0.4455,2156147,45305077.0,10197273141.9,10197273141.9
2018-03-26,'600132,÷ÿ«Ï∆°æ∆,21.01,21.08,19.4,20.0,20.1,0.91,4.5274,0.4329,2095149,42797979.0,10168234870.0,10168234870.0
2018-03-23,'600132,÷ÿ«Ï∆°æ∆,20.1,20.79,19.69,20.79,21.1,-1.0,-4.7393,0.6837,3308771,67129464.0,9727821079.8,9727821079.8
2018-03-22,'600132,÷ÿ«Ï∆°æ∆,21.1,21.52,21.06,21.21,21.16,-0.06,-0.2836,0.408,1974399,42036341.0,10211792277.8,10211792277.8
2018-03-21,'600132,÷ÿ«Ï∆°æ∆,21.16,22.27,20.97,21.6,21.68,-0.52,-2.3985,0.5763,2789200,60286900.0,10240830549.7,10240830549.7
2018-03-20,'600132,÷ÿ«Ï∆°æ∆,21.68,21.82,21.35,21.64,21.78,-0.1,-0.4591,0.2412,1167410,25219601.0,10492495572.6,10492495572.6
2018-03-19,'600132,÷ÿ«Ï∆°æ∆,21.78,21.8,20.72,21.05,21.05,0.73,3.4679,0.6056,2930826,62418856.0,10540892692.4,10540892692.4
