日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-03-30,'600455,博通股份,33.51,33.59,32.13,32.37,32.41,1.1,3.394,0.3801,237401,7837056.0,2092967580.0,2092967580.0
2018-03-29,'600455,博通股份,32.41,32.99,31.78,31.98,31.98,0.43,1.3446,0.2123,132600,4296157.0,2024263780.0,2024263780.0
2018-03-28,'600455,博通股份,31.98,32.63,31.59,32.0,32.12,-0.14,-0.4359,0.3119,194800,6235288.0,1997406840.0,1997406840.0
2018-03-27,'600455,博通股份,32.12,32.29,31.15,31.37,31.37,0.75,2.3908,0.1889,118000,3762651.0,2006150960.0,2006150960.0
2018-03-26,'600455,博通股份,31.37,31.39,29.82,30.58,31.03,0.34,1.0957,0.2145,134000,4094232.0,1959307460.0,1959307460.0
2018-03-23,'600455,博通股份,31.03,32.66,30.43,32.5,32.7,-1.67,-5.107,0.3341,208700,6530808.0,1938071740.0,1938071740.0
2018-03-22,'600455,博通股份,32.7,33.15,32.3,32.68,32.68,0.02,0.0612,0.1427,89100,2924828.0,2042376600.0,2042376600.0
2018-03-21,'600455,博通股份,32.68,33.6,32.63,33.45,33.0,-0.32,-0.9697,0.2956,184601,6122167.0,2041127440.0,2041127440.0
2018-03-20,'600455,博通股份,33.0,33.27,32.53,33.27,33.34,-0.34,-1.0198,0.1577,98501,3230257.0,2061114000.0,2061114000.0
2018-03-19,'600455,博通股份,33.34,33.49,31.5,31.51,32.33,1.01,3.124,0.2896,180864,5936165.0,2082349720.0,2082349720.0
2018-03-16,'600455,博通股份,32.33,32.64,32.03,32.36,32.3,0.03,0.0929,0.1543,96363,3114925.0,2019267140.0,2019267140.0
2018-03-15,'600455,博通股份,32.3,32.73,32.06,32.31,32.79,-0.49,-1.4944,0.221,138016,4464480.0,2017393400.0,2017393400.0
2018-03-14,'600455,博通股份,32.79,33.34,32.39,33.0,33.26,-0.47,-1.4131,0.177,110551,3634644.0,2047997820.0,2047997820.0
2018-03-13,'600455,博通股份,33.26,33.98,33.01,33.98,33.87,-0.61,-1.801,0.3369,210400,7026785.0,2077353080.0,2077353080.0
2018-03-12,'600455,博通股份,33.87,33.89,33.21,33.21,33.17,0.7,2.1103,0.2535,158331,5317274.0,2115452460.0,2115452460.0
2018-03-09,'600455,博通股份,33.17,33.28,32.72,33.25,33.07,0.1,0.3024,0.2623,163820,5412130.0,2071731860.0,2071731860.0
2018-03-08,'600455,博通股份,33.07,33.16,32.7,32.88,32.99,0.08,0.2425,0.0789,49300,1624223.0,2065486060.0,2065486060.0
2018-03-07,'600455,博通股份,32.99,33.33,32.89,32.9,33.29,-0.3,-0.9012,0.1515,94600,3136056.0,2060489420.0,2060489420.0
2018-03-06,'600455,博通股份,33.29,33.48,31.89,31.96,32.02,1.27,3.9663,0.342,213602,7033340.0,2079226820.0,2079226820.0
2018-03-05,'600455,博通股份,32.02,32.44,31.46,31.46,32.07,-0.05,-0.1559,0.0931,58152,1864711.0,1999905160.0,1999905160.0
2018-03-02,'600455,博通股份,32.07,32.16,31.91,31.99,32.27,-0.2,-0.6198,0.1735,108352,3468087.0,2003028060.0,2003028060.0
2018-03-01,'600455,博通股份,32.27,32.46,31.6,31.87,32.17,0.1,0.3108,0.1716,107201,3424080.0,2015519660.0,2015519660.0
2018-02-28,'600455,博通股份,32.17,32.27,31.3,31.3,32.3,-0.13,-0.4025,0.089,55600,1779295.0,2009273860.0,2009273860.0
2018-02-27,'600455,博通股份,32.3,33.79,32.03,32.7,32.24,0.06,0.1861,0.1558,97300,3166627.0,2017393400.0,2017393400.0
2018-02-26,'600455,博通股份,32.24,32.28,31.14,31.39,31.36,0.88,2.8061,0.2393,149485,4777147.0,2013645920.0,2013645920.0
2018-02-23,'600455,博通股份,31.36,31.87,30.31,30.66,30.91,0.45,1.4558,0.2113,131951,4103750.0,1958682880.0,1958682880.0
2018-02-22,'600455,博通股份,30.91,31.28,30.31,30.31,30.8,0.11,0.3571,0.1247,77901,2393980.0,1930576780.0,1930576780.0
2018-02-14,'600455,博通股份,30.8,30.9,30.1,30.83,30.83,-0.03,-0.0973,0.1108,69202,2118916.0,1923706400.0,1923706400.0
2018-02-13,'600455,博通股份,30.83,31.25,30.4,30.85,30.45,0.38,1.2479,0.2186,136552,4194118.0,1925580140.0,1925580140.0
2018-02-12,'600455,博通股份,30.45,30.78,30.06,30.06,30.44,0.01,0.0329,0.1351,84400,2576284.0,1901846100.0,1901846100.0
2018-02-09,'600455,博通股份,30.44,30.94,29.8,30.94,30.94,-0.5,-1.616,0.1387,86600,2613509.0,1901221520.0,1901221520.0
2018-02-08,'600455,博通股份,30.94,31.27,30.16,30.16,31.11,-0.17,-0.5464,0.114,71201,2201962.0,1932450520.0,1932450520.0
2018-02-07,'600455,博通股份,31.11,31.61,29.8,30.6,30.99,0.12,0.3872,0.2687,167832,5116425.0,1943068380.0,1943068380.0
2018-02-06,'600455,博通股份,30.99,31.0,29.38,29.51,30.98,0.01,0.0323,0.5773,360544,10941006.0,1935573420.0,1935573420.0
2018-02-05,'600455,博通股份,30.98,31.66,30.0,31.25,32.01,-1.03,-3.2177,0.4606,287684,8814222.0,1934948840.0,1934948840.0
2018-02-02,'600455,博通股份,32.01,32.5,31.23,32.01,33.01,-1.0,-3.0294,0.5846,365100,11506958.0,1999280580.0,1999280580.0
2018-02-01,'600455,博通股份,33.01,33.29,32.0,32.49,32.99,0.02,0.0606,0.4862,303651,9937724.0,2061738580.0,2061738580.0
2018-01-31,'600455,博通股份,32.99,33.79,31.21,33.33,33.8,-0.81,-2.3964,0.2828,176650,5766578.0,2060489420.0,2060489420.0
2018-01-30,'600455,博通股份,33.8,34.1,32.96,33.05,33.98,-0.18,-0.5297,0.198,123651,4168628.0,2111080400.0,2111080400.0
2018-01-29,'600455,博通股份,33.98,34.5,33.6,34.33,34.33,-0.35,-1.0195,0.1551,96900,3309385.0,2122322840.0,2122322840.0
2018-01-26,'600455,博通股份,34.33,34.87,33.96,33.96,34.78,-0.45,-1.2938,0.1031,64400,2216203.0,2144183140.0,2144183140.0
2018-01-25,'600455,博通股份,34.78,34.98,33.59,34.8,34.8,-0.02,-0.0575,0.276,172400,5985595.0,2172289240.0,2172289240.0
2018-01-24,'600455,博通股份,34.8,35.26,34.58,35.01,35.03,-0.23,-0.6566,0.1086,67800,2359156.0,2173538400.0,2173538400.0
2018-01-23,'600455,博通股份,35.03,35.35,34.76,34.77,34.79,0.24,0.6899,0.1824,113900,3987489.0,2187903740.0,2187903740.0
2018-01-22,'600455,博通股份,34.79,35.5,33.63,34.56,34.72,0.07,0.2016,0.1992,124400,4312977.0,2172913820.0,2172913820.0
2018-01-19,'600455,博通股份,34.72,34.92,34.31,34.46,34.48,0.24,0.6961,0.171,106800,3697029.0,2168541760.0,2168541760.0
2018-01-18,'600455,博通股份,34.48,34.71,34.26,34.55,34.67,-0.19,-0.548,0.1222,76351,2638340.0,2153551840.0,2153551840.0
2018-01-17,'600455,博通股份,34.67,34.77,33.75,34.17,34.8,-0.13,-0.3736,0.2135,133353,4573912.0,2165418860.0,2165418860.0
2018-01-16,'600455,博通股份,34.8,35.5,33.38,33.38,34.02,0.78,2.2928,0.2664,166400,5756099.0,2173538400.0,2173538400.0
2018-01-15,'600455,博通股份,34.02,35.76,33.66,35.58,35.58,-1.56,-4.3845,0.4061,253625,8776783.0,2124821160.0,2124821160.0
2018-01-12,'600455,博通股份,35.58,36.64,34.88,35.77,35.51,0.07,0.1971,0.2719,169827,6092830.0,2222255640.0,2222255640.0
2018-01-11,'600455,博通股份,35.51,35.74,34.76,35.01,35.27,0.24,0.6805,0.2437,152200,5375541.0,2217883580.0,2217883580.0
2018-01-10,'600455,博通股份,35.27,35.64,35.15,35.55,35.71,-0.44,-1.2321,0.2248,140401,4963409.0,2202893660.0,2202893660.0
2018-01-09,'600455,博通股份,35.71,35.9,35.31,35.74,35.88,-0.17,-0.4738,0.3313,206950,7358546.0,2230375180.0,2230375180.0
2018-01-08,'600455,博通股份,35.88,36.15,35.39,36.15,36.15,-0.27,-0.7469,0.179,111800,3990229.0,2240993040.0,2240993040.0
2018-01-05,'600455,博通股份,36.15,36.48,35.62,36.22,36.28,-0.13,-0.3583,0.2534,158295,5713230.0,2257856700.0,2257856700.0
2018-01-04,'600455,博通股份,36.28,36.99,35.52,36.15,36.13,0.15,0.4152,0.6484,404985,14677154.0,2265976240.0,2265976240.0
2018-01-03,'600455,博通股份,36.13,36.35,35.33,35.73,35.76,0.37,1.0347,0.2974,185746,6622003.0,2256607540.0,2256607540.0
2018-01-02,'600455,博通股份,35.76,35.96,35.01,35.82,35.98,-0.22,-0.6115,0.276,172400,6139399.0,2233498080.0,2233498080.0
