ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2018-03-30,'600228,*ST²ý¾Å,10.9,10.97,10.84,10.97,10.94,-0.04,-0.3656,0.3017,727977,7934257.0,2630388000.0,2630388000.0
2018-03-29,'600228,*ST²ý¾Å,10.94,10.99,10.7,10.8,10.76,0.18,1.6729,0.4218,1017972,11062786.0,2640040800.0,2640040800.0
2018-03-28,'600228,*ST²ý¾Å,10.76,10.85,10.56,10.69,10.77,-0.01,-0.0929,0.5735,1383971,14807879.0,2596603200.0,2596603200.0
2018-03-27,'600228,*ST²ý¾Å,10.77,10.89,10.7,10.77,10.68,0.09,0.8427,0.7139,1722671,18571139.0,2599016400.0,2599016400.0
2018-03-26,'600228,*ST²ý¾Å,10.68,11.06,10.66,10.68,10.94,-0.26,-2.3766,0.7673,1851700,19999954.0,2577297600.0,2577297600.0
2018-03-23,'600228,*ST²ý¾Å,10.94,11.34,10.86,11.19,11.34,-0.4,-3.5273,0.6563,1583901,17558579.0,2640040800.0,2640040800.0
2018-03-22,'600228,*ST²ý¾Å,11.34,11.38,11.25,11.3,11.3,0.04,0.354,0.259,625128,7075066.0,2736568800.0,2736568800.0
2018-03-21,'600228,*ST²ý¾Å,11.3,11.53,11.2,11.39,11.41,-0.11,-0.9641,0.4359,1052000,11962102.0,2726916000.0,2726916000.0
2018-03-20,'600228,*ST²ý¾Å,11.41,11.48,11.35,11.35,11.5,-0.09,-0.7826,0.2645,638213,7286956.0,2753461200.0,2753461200.0
2018-03-19,'600228,*ST²ý¾Å,11.5,11.56,11.19,11.55,11.5,0.0,0.0,0.6016,1451811,16459602.0,2775180000.0,2775180000.0
2018-03-16,'600228,*ST²ý¾Å,11.5,11.82,11.48,11.72,11.83,-0.33,-2.7895,0.6082,1467713,17089334.0,2775180000.0,2775180000.0
